GeneID,Name
LOC115923689,histone H2A-like
LOC115921875,histone H2B
LOC115922805,"histone H3, embryonic-like"
LOC115919121,"histone H3, embryonic-like"
LOC115917781,U2 spliceosomal RNA
LOC115921627,histone H2A
LOC115922266,histone H2B
LOC115917786,U2 spliceosomal RNA
LOC115921242,histone H2A
LOC115922573,histone H2B
LOC115917789,U2 spliceosomal RNA
LOC115917788,U2 spliceosomal RNA
LOC115924307,histone H2A
LOC115924613,histone H2B
LOC115917787,U2 spliceosomal RNA
LOC115926724,coiled-coil domain-containing protein 77-like
LOC115927487,glutamate-rich WD repeat-containing protein 1-like
LOC115927141,cytosolic Fe-S cluster assembly factor narfl-like
LOC115927922,vesicle-associated protein-like
LOC115928199,vesicle-associated protein-like
LOC115928573,uncharacterized PE-PGRS family protein PE_PGRS54-like
LOC115928816,thyrotropin-releasing hormone receptor-like
LOC115929161,somatostatin receptor type 5-like
LOC115929444,glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1-like
LOC115929597,zinc finger protein 43-like
LOC115929792,zinc finger protein 181-like
LOC115919122,zinc finger protein 59-like
LOC115919290,neutral cholesterol ester hydrolase 1-like
LOC115919497,neutral cholesterol ester hydrolase 1-like
LOC115919819,diamine acetyltransferase 1-like
LOC115920049,mucin-22-like
LOC115920278,mucin-22-like
LOC115920550,mucin-22-like
TRNAA-GGC,transfer RNA alanine (anticodon GGC)
LOC115920907,proteoglycan 4-like
LOC115920947,proteoglycan 4-like
LOC115921029,atrial natriuretic peptide receptor 1-like
LOC115921061,uncharacterized LOC115921061
LOC115921099,deleted in malignant brain tumors 1 protein-like
LOC115921137,"CDGSH iron-sulfur domain-containing protein 3, mitochondrial-like"
LOC115921201,neurogenic locus Notch protein-like
LOC115921232,solute carrier organic anion transporter family member 5A1-like
LOC115921292,eukaryotic translation initiation factor 2-alpha kinase 3-like
LOC115921331,small subunit processome component 20 homolog
LOC115921420,putative uncharacterized protein DDB_G0271606
LOC115921374,nestin-like
LOC115921515,translocation protein SEC62-like
LOC115921546,zinc transporter ZIP14-like
LOC115921565,short-chain dehydrogenase/reductase family 9C member 7-like
LOC105443448,uncharacterized LOC105443448
TRNAP-GGG,transfer RNA proline (anticodon GGG)
LOC115921639,ceramide glucosyltransferase-B-like
LOC115921683,uncharacterized LOC115921683
LOC115921691,uncharacterized LOC115921691
LOC115921737,uncharacterized LOC115921737
LOC115921718,uncharacterized LOC115921718
LOC115921702,uncharacterized LOC115921702
LOC105438765,zonadhesin-like
LOC115921815,uncharacterized LOC115921815
LOC115921857,uncharacterized LOC115921857
LOC115921962,glutamate--cysteine ligase catalytic subunit-like
LOC115922104,tyrosine-protein kinase receptor torso-like
LOC115922130,REST corepressor 3-like
LOC115922143,uncharacterized LOC115922143
LOC115922153,MIT domain-containing protein 1-like
LOC115922180,protein FAM49B-like
LOC115922202,retinol dehydrogenase 7-like
LOC115922226,polyubiquitin-like
LOC115922261,electron transfer flavoprotein beta subunit lysine methyltransferase-like
LOC115922284,balbiani ring protein 1-like
LOC115922320,serine/arginine-rich splicing factor 10-like
LOC115922344,heat shock protein HSP 90-beta-like
LOC115922376,phosphomevalonate kinase-like
LOC115922538,delta-like protein 1
LOC115922458,fibropellin-3-like
LOC115922500,fibropellin-3-like
LOC115922565,tryptophan 5-hydroxylase 1-like
LOC115922611,sorting nexin-25-like
LOC105436745,uncharacterized LOC105436745
LOC100892607,uncharacterized LOC100892607
LOC115922678,uncharacterized LOC115922678
LOC115922710,TATA element modulatory factor-like
LOC115922727,ras and EF-hand domain-containing protein-like
LOC115922750,calcium/calmodulin-dependent protein kinase type II subunit delta-like
LOC115922798,transmembrane protein 184C-like
LOC115922875,asialoglycoprotein receptor 2-like
LOC115922927,P-selectin-like
LOC115922953,nuclear factor NF-kappa-B p105 subunit-like
LOC115922975,transmembrane protease serine 13-like
LOC115922998,beta-1 adrenergic receptor-like
LOC115923021,5-hydroxytryptamine receptor 1A-alpha-like
LOC115923039,glutamate carboxypeptidase 2-like
LOC115923118,uncharacterized LOC115923118
LOC115923148,uncharacterized LOC115923148
LOC115923179,uncharacterized LOC115923179
LOC105438449,hyalin-like
LOC115923217,hyalin-like
LOC105438448,uncharacterized LOC105438448
LOC115923302,heparan sulfate glucosamine 3-O-sulfotransferase 1-like
LOC115923412,"pyrroline-5-carboxylate reductase 1, mitochondrial-like"
LOC105438450,uncharacterized LOC105438450
LOC115923428,uncharacterized LOC115923428
LOC115923444,uncharacterized LOC115923444
LOC115923487,uncharacterized LOC115923487
LOC105440669,uncharacterized LOC105440669
LOC115923550,uncharacterized LOC115923550
LOC115923588,hyalin-like
LOC100888253,uncharacterized LOC100888253
LOC115923631,uncharacterized LOC115923631
LOC115923645,ATP-dependent DNA helicase Q1-like
LOC115923701,WASH complex subunit 3-like
LOC115923733,zinc transporter 7-B-like
LOC115923783,fibrillin-1-like
LOC115923862,TNF receptor-associated factor 2-like
LOC105440694,uncharacterized LOC105440694
LOC115923985,uncharacterized LOC115923985
LOC115923998,uncharacterized LOC115923998
LOC115924024,uncharacterized LOC115924024
LOC115924048,uncharacterized LOC115924048
LOC115924061,uncharacterized LOC115924061
LOC115924070,uncharacterized LOC115924070
LOC115924081,vesicle-associated membrane protein-associated protein A-like
LOC115924110,sulfotransferase 4A1-like
LOC115924141,uncharacterized LOC115924141
LOC115924181,uncharacterized LOC115924181
LOC115924206,DDB1- and CUL4-associated factor 10-like
LOC115924227,E3 ubiquitin-protein ligase RNF113A-like
LOC115924244,isoinhibitor K-like
LOC115924257,protein mono-ADP-ribosyltransferase PARP11-like
LOC115924327,"alanine--tRNA ligase, cytoplasmic-like"
LOC115924431,uncharacterized LOC115924431
LOC115924458,protein disulfide-isomerase A4-like
LOC115924477,5'-AMP-activated protein kinase catalytic subunit alpha-1-like
LOC115924495,formin-like protein 2
LOC105445371,uncharacterized LOC105445371
LOC115924563,uncharacterized LOC115924563
LOC105445319,uncharacterized LOC105445319
LOC115924586,uncharacterized LOC115924586
LOC115924638,solute carrier organic anion transporter family member 4A1-like
LOC115924654,neuronal acetylcholine receptor subunit alpha-6-like
LOC115924777,uncharacterized LOC115924777
LOC115924899,splicing factor U2af large subunit B-like
LOC105441570,transducin beta-like protein 3
LOC115924939,aqualysin-1-like
LOC115924962,uncharacterized LOC115924962
LOC115924984,PRELI domain-containing protein 2-like
LOC115925016,excitatory amino acid transporter 1-like
LOC115925070,choline O-acetyltransferase-like
LOC115925131,neurofilament heavy polypeptide-like
LOC115925157,AP-4 complex subunit sigma-like
LOC115925174,uncharacterized protein PB18E9.04c-like
LOC115925189,leucine-rich repeat extensin-like protein 3
LOC115925210,uncharacterized LOC115925210
LOC115925238,60S ribosomal protein L7a-like
LOC115925277,small nucleolar RNA SNORD36
LOC115925318,soluble scavenger receptor cysteine-rich domain-containing protein SSC5D-like
LOC115925370,uncharacterized LOC115925370
ervk-6,endogenous retrovirus group K member 6 envelope
LOC105442427,dnaJ homolog subfamily C member 5-like
LOC105446909,uncharacterized LOC105446909
LOC115925519,cell adhesion molecule 2-like
LOC115925542,MPN domain-containing protein-like
LOC115925567,uncharacterized LOC115925567
TRNAV-AAC,transfer RNA valine (anticodon AAC)
LOC115925875,cytochrome P450 3A29-like
LOC115925932,arylsulfatase B-like
LOC115925986,uncharacterized LOC115925986
LOC115926017,sodium-dependent phosphate transport protein 2B-like
LOC115926037,melatonin receptor type 1A-like
LOC115926063,AT-rich interactive domain-containing protein 5B-like
LOC115926092,uncharacterized LOC115926092
LOC115928507,5S ribosomal RNA
LOC115928646,5S ribosomal RNA
LOC115928636,5S ribosomal RNA
LOC115928531,5S ribosomal RNA
LOC115928593,5S ribosomal RNA
LOC115928460,5S ribosomal RNA
LOC115928581,5S ribosomal RNA
LOC115928655,5S ribosomal RNA
LOC115928611,5S ribosomal RNA
LOC115926113,5S ribosomal RNA
LOC115928669,5S ribosomal RNA
LOC115928423,5S ribosomal RNA
LOC115928892,5S ribosomal RNA
LOC115929155,5S ribosomal RNA
LOC115929342,5S ribosomal RNA
LOC115926242,5S ribosomal RNA
LOC115926601,5S ribosomal RNA
LOC115926748,5S ribosomal RNA
LOC115926999,5S ribosomal RNA
LOC115927332,5S ribosomal RNA
LOC115927617,5S ribosomal RNA
LOC115927938,5S ribosomal RNA
LOC115928143,5S ribosomal RNA
LOC115928355,5S ribosomal RNA
LOC115928624,5S ribosomal RNA
LOC115928680,5S ribosomal RNA
LOC115928694,5S ribosomal RNA
LOC115928709,5S ribosomal RNA
LOC115928734,5S ribosomal RNA
LOC115928760,5S ribosomal RNA
LOC115928789,5S ribosomal RNA
LOC115928811,5S ribosomal RNA
LOC115928828,5S ribosomal RNA
LOC115928851,5S ribosomal RNA
LOC115928874,5S ribosomal RNA
LOC115928937,5S ribosomal RNA
LOC115929000,5S ribosomal RNA
LOC115929023,5S ribosomal RNA
LOC115929036,5S ribosomal RNA
LOC115929049,5S ribosomal RNA
LOC115929078,5S ribosomal RNA
LOC115929103,5S ribosomal RNA
LOC115929123,5S ribosomal RNA
LOC115929132,5S ribosomal RNA
LOC115929145,5S ribosomal RNA
LOC115929167,5S ribosomal RNA
LOC115929184,5S ribosomal RNA
LOC115929200,5S ribosomal RNA
LOC115929211,5S ribosomal RNA
LOC115929232,5S ribosomal RNA
LOC115929247,5S ribosomal RNA
LOC115929257,5S ribosomal RNA
LOC115929279,5S ribosomal RNA
LOC115929305,5S ribosomal RNA
LOC115929326,5S ribosomal RNA
LOC115929355,5S ribosomal RNA
LOC115929376,5S ribosomal RNA
LOC115929430,5S ribosomal RNA
LOC115929436,5S ribosomal RNA
LOC115929447,5S ribosomal RNA
LOC115926136,5S ribosomal RNA
LOC115926168,5S ribosomal RNA
LOC115926185,5S ribosomal RNA
LOC115926198,5S ribosomal RNA
LOC115926215,5S ribosomal RNA
LOC115926320,5S ribosomal RNA
LOC115926356,5S ribosomal RNA
LOC115926382,5S ribosomal RNA
LOC115926409,5S ribosomal RNA
LOC115926441,5S ribosomal RNA
LOC115926470,5S ribosomal RNA
LOC115926500,5S ribosomal RNA
LOC115926530,5S ribosomal RNA
LOC115926566,5S ribosomal RNA
LOC115926586,5S ribosomal RNA
LOC115926618,5S ribosomal RNA
LOC115926628,5S ribosomal RNA
LOC115926638,5S ribosomal RNA
LOC115926655,5S ribosomal RNA
LOC115926665,5S ribosomal RNA
LOC115926680,5S ribosomal RNA
LOC115926696,5S ribosomal RNA
LOC115926708,5S ribosomal RNA
LOC115926718,5S ribosomal RNA
LOC115926737,5S ribosomal RNA
LOC115926773,5S ribosomal RNA
LOC115926782,5S ribosomal RNA
LOC115926802,5S ribosomal RNA
LOC115926824,5S ribosomal RNA
LOC115926837,5S ribosomal RNA
LOC115926849,5S ribosomal RNA
LOC115926862,5S ribosomal RNA
