p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
2.720274674125629e-60,0.6396481718551001,1,0.987,5.93645542134436e-56,transient,LOC576005
8.276913802181825e-58,0.5760925153744307,1,1,1.8062708990501398e-53,transient,LOC576835
2.816999584284014e-52,0.5677171572857427,1,0.991,6.147538192783004e-48,transient,LOC580680
1.457457934163477e-50,0.5533167920522231,0.998,0.983,3.180610449724956e-46,transient,HMG1
1.5937925467516564e-50,0.5455950056400942,1,0.957,3.47813347477614e-46,transient,LOC594471
1.1864744992559391e-48,0.5517802744700284,0.995,0.966,2.589243299726236e-44,transient,LOC576159
3.2415389407155144e-47,0.5596213560056391,0.998,1,7.074010430323467e-43,transient,LOC100888959
6.781138320432729e-47,0.5463175393323838,1,0.979,1.4798478156680345e-42,transient,LOC582717
1.489782164919529e-46,0.4896431086421895,1,0.991,3.251151618503888e-42,transient,LOC586739
3.938064306495221e-46,0.5779685350825265,0.998,0.966,8.594037736064521e-42,transient,LOC594186
5.220485208856238e-46,0.5301688277619192,1,0.987,1.139266487128697e-41,transient,LOC584760
3.506955500855519e-45,0.6442078093938632,1,0.979,7.653228989516999e-41,transient,LOC586530
4.499609173529576e-45,0.537091820708981,0.998,0.983,9.819497099393594e-41,transient,LOC579293
9.56688918127042e-45,0.5422209739510153,1,1,2.087782226028644e-40,transient,LOC575449
2.0240302365715256e-44,0.6341925178188244,1,0.996,4.4170411852700405e-40,transient,LOC755135
2.214640895069977e-44,0.6670486059462735,0.997,0.974,4.833010825311211e-40,transient,LOC587987
3.393676803256944e-44,0.4879870681053631,1,0.996,7.406020887747629e-40,transient,LOC578672
3.79101259588265e-44,0.5181634535216326,1,1,8.273126787994707e-40,transient,LOC590203
3.854862354442548e-44,0.5086482871186155,1,0.987,8.412466116099972e-40,transient,LOC574582
1.1693426036085837e-43,0.5788320827032658,0.998,0.953,2.5518563638550123e-39,transient,LOC581376
2.4972965981290928e-43,0.615278882356777,1,0.991,5.449850366097119e-39,transient,LOC373484
3.437038225190829e-43,0.6164951218568064,0.994,0.936,7.500648518833946e-39,transient,LOC575347
3.62249896433502e-43,0.4454228489710439,1,1,7.905379489868315e-39,transient,LOC753159
5.028207101436218e-43,0.6892718718799999,0.998,0.97,1.0973056357464258e-38,transient,H2A.F/Z
5.152539940593143e-43,0.5566157462132733,0.994,0.957,1.1244387912356417e-38,transient,LOC764715
4.440713238965422e-42,0.5205657214176718,0.998,0.987,9.690968501394242e-38,transient,LOC589170
6.595968584444552e-41,0.5516366831850958,0.998,0.979,1.4394382241833346e-36,transient,LOC592285
9.577796301476872e-41,0.46520176327536644,1,0.957,2.090162486871298e-36,transient,LOC763121
1.125765263335907e-40,0.6160366024706876,0.956,0.682,2.45675753417795e-36,transient,LOC577878
2.979137458831598e-40,0.5935565373138854,0.957,0.682,6.501371676408196e-36,transient,LOC575596
5.578155781270165e-40,0.5259087082481746,0.997,0.927,1.2173209361465882e-35,transient,LOC579072
1.7017881917770867e-39,0.46988053915536665,0.989,0.906,3.7138123709151364e-35,transient,LOC582526
2.6222532033349837e-39,0.47212302962438946,0.998,0.983,5.722543165637935e-35,transient,LOC594110
3.0810299700931257e-39,0.41375012014884094,1,1,6.723731703734229e-35,transient,LOC578079
3.6984529376309897e-39,0.4154801920543001,1,0.979,8.071133845792109e-35,transient,LOC575125
4.2837483788264487e-39,0.5733980039150759,1,0.944,9.348424087112959e-35,transient,LOC548620
4.706804631339895e-39,0.4411888619127895,0.997,0.957,1.0271659746973052e-34,transient,LOC592882
7.936857993936808e-39,0.5277662822042943,0.997,0.948,1.7320605200168296e-34,transient,LOC575733
7.962783672040445e-39,0.5441326827846247,0.995,0.927,1.7377182807493863e-34,transient,LOC578693
8.395391438051018e-39,0.4684521381604363,0.998,0.923,1.8321262735258738e-34,transient,LOC581153
