p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
0,2.1077949119922454,0.927,0.227,0,endoderm,LOC373243
0,1.7712137454328158,0.985,0.332,0,endoderm,blimp1/krox
0,1.753991634404299,0.813,0.082,0,endoderm,FoxA
0,1.6698252901912334,0.993,0.392,0,endoderm,Hbox7
0,1.6324888186460176,1,0.814,0,endoderm,LOC105440257
0,1.5537183029063177,0.71,0.136,0,endoderm,LOC100891660
0,1.5426436539898543,0.992,0.563,0,endoderm,LOC105437938
0,1.4507401014260135,0.816,0.202,0,endoderm,LOC593520
0,1.3583640436852602,0.961,0.38,0,endoderm,LOC100888674
0,1.2434341564710647,0.491,0.053,0,endoderm,gcm
0,1.1551540461180374,0.944,0.424,0,endoderm,LOC105441402
0,1.130330103574185,0.84,0.289,0,endoderm,LOC100889512
0,1.027513755553743,0.658,0.133,0,endoderm,LOC575412
0,0.8888671250831024,0.745,0.208,0,endoderm,LOC105438237
0,0.8318639095230935,0.997,0.955,0,endoderm,LOC575259
9.764694785413755e-280,0.8443564048532648,0.607,0.146,2.130949343020844e-275,endoderm,LOC105445055
4.0870585638283006e-270,0.8050819598699903,0.701,0.187,8.919187903842501e-266,endoderm,LOC100893226
4.258044619522316e-264,0.859141761678647,0.976,0.797,9.29233077318355e-260,endoderm,LOC752174
8.620412117908818e-253,0.8390496556631912,0.89,0.49,1.8812325364912415e-248,endoderm,LOC105440463
8.964885201545238e-247,1.4158302807775753,0.447,0.074,1.9564068975332173e-242,endoderm,LOC576343
8.434429900667488e-246,1.0496245717116666,0.765,0.331,1.840645637222666e-241,endoderm,LOC577764
1.571801662157281e-239,0.818027765311995,0.539,0.126,3.430142767325834e-235,endoderm,LOC105441496
4.341399577483017e-226,1.0188313075842224,0.763,0.297,9.474236297941189e-222,endoderm,eve
1.6029674430752826e-224,0.793356112068325,0.923,0.645,3.498155851023189e-220,endoderm,LOC581850
2.4269461214228005e-220,0.7474051192875769,0.529,0.128,5.296324520780978e-216,endoderm,LOC105437737
4.416750492530973e-213,0.6596238476208549,0.446,0.087,9.638674599850342e-209,endoderm,LOC105437727
4.550397765721643e-210,0.8482726183355155,0.826,0.418,9.930333044134342e-206,endoderm,LOC591161
5.684944511268945e-206,0.48844299624236165,0.334,0.041,1.2406254406942218e-201,endoderm,LOC100892060
1.1827220122414109e-203,0.7115749171563382,0.873,0.566,2.581054247314431e-199,endoderm,LOC585594
3.496099510131875e-201,0.5889750436995818,0.335,0.039,7.62953796096079e-197,endoderm,LOC575740
1.111941730277075e-194,0.6169210662095213,0.43,0.085,2.4265904379836605e-190,endoderm,LOC105440873
2.1626570134686199e-184,0.6570216333596767,0.482,0.116,4.719566400492569e-180,endoderm,LOC100892930
3.9146086027863876e-176,0.6043401320938917,0.364,0.066,8.542850353860734e-172,endoderm,LOC105443290
2.468356391688872e-174,0.5777725880264357,0.306,0.039,5.3866941535826255e-170,endoderm,GATAe
1.8169871137276794e-170,0.4407570241128418,0.843,0.464,3.965210978287915e-166,endoderm,LOC105445187
1.2286161736458294e-152,0.5016282343991522,0.428,0.115,2.6812090757472935e-148,endoderm,LOC584124
3.025789523010975e-149,0.8689022066460618,0.529,0.197,6.60318047606685e-145,endoderm,LOC585279
4.27526549796501e-147,0.5463299376588518,0.424,0.106,9.32991189620904e-143,endoderm,LOC105439261
2.8764985302041928e-146,0.5599883818494716,0.43,0.111,6.27738274246461e-142,endoderm,LOC105439260
9.24061261052367e-142,0.4152793149058042,0.213,0.021,2.0165788899945805e-137,endoderm,LOC576774
8.395518351825282e-139,0.4919744442850239,0.293,0.052,1.8321539699188313e-134,endoderm,LOC105439457
1.1310753097878203e-136,0.7166753408551079,0.333,0.074,2.4683456485499602e-132,endoderm,LOC100891959
1.3850974497476466e-133,0.4592938831619229,0.441,0.133,3.0226981645842894e-129,endoderm,LOC575113
6.4285074592792384e-130,0.610610995676172,0.766,0.468,1.4028931828385083e-125,endoderm,LOC594063
1.975468263467294e-123,0.7330716225519869,0.428,0.145,4.311064391364676e-119,endoderm,LOC105440761
7.14003943471966e-123,0.5857406638450018,0.838,0.564,1.5581708058388714e-118,endoderm,LOC576204
2.8871124586677743e-121,0.3189978011112337,0.22,0.03,6.300545518550684e-117,endoderm,LOC105436812
1.0183291231870702e-120,0.2647645365153568,0.195,0.021,2.2222996455311433e-116,endoderm,LOC578814
2.859517491332521e-119,0.6049201859111517,0.428,0.139,6.2403250213349605e-115,endoderm,LOC100048987
1.0501859006003082e-112,0.33821356008724174,0.209,0.029,2.2918206908800525e-108,endoderm,LOC586563
2.7001489285018415e-105,0.5255174042361692,0.536,0.245,5.892535006669569e-101,endoderm,LOC581885
2.3235418997964473e-104,0.3200899644424086,0.263,0.056,5.070665487925787e-100,endoderm,LOC585651
2.6217133403352594e-104,0.5640134873760448,0.785,0.557,5.721365022613637e-100,endoderm,LOC764890
1.2419609957599327e-102,0.7862578112212486,0.297,0.078,2.710331481046901e-98,endoderm,LOC105440971
1.2835105812948093e-101,0.4962977028085549,0.482,0.189,2.8010051415596624e-97,endoderm,LOC587887
1.0836221001646183e-98,0.3223539706346523,0.999,0.988,2.3647885091892465e-94,endoderm,otx
2.8855643461639667e-97,0.5312154455383207,0.406,0.145,6.297167072633625e-93,endoderm,LOC584138
2.3346674505106997e-95,0.43493895025459584,0.341,0.105,5.0949447772495e-91,endoderm,LOC105438903
2.368517285589879e-93,0.32448958237175485,0.173,0.024,5.1688152723427925e-89,endoderm,LOC577314
1.349172313036621e-90,0.8374990569166099,0.652,0.43,2.944298738739818e-86,endoderm,LOC105438463
1.776778539647314e-89,0.5229145817503932,0.614,0.347,3.877463807072333e-85,endoderm,LOC100892456
2.0219107353807244e-89,0.64410886007279,0.311,0.096,4.412415797821355e-85,endoderm,LOC100892725
5.637114978343251e-89,0.49359728621037724,0.817,0.594,1.2301876017238477e-84,endoderm,LOC587543
