p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
0,2.283208582672446,0.787,0.181,0,endoderm,LOC575684
0,2.2357004417033526,0.769,0.206,0,endoderm,blimp1/krox
0,2.0422535481453132,0.757,0.15,0,endoderm,LOC575553
0,1.9799753100742745,0.818,0.229,0,endoderm,Endo16
0,1.7950380790719234,0.924,0.355,0,endoderm,FoxA
0,1.5779020123474985,0.391,0.069,0,endoderm,LOC591984
0,1.533885659967984,0.642,0.077,0,endoderm,GATAe
0,1.5298469086077247,0.641,0.063,0,endoderm,LOC575445
0,1.478705713701125,0.921,0.46,0,endoderm,LOC585801
0,1.3901284321752074,0.775,0.189,0,endoderm,LOC105437938
0,1.3539672919364585,0.612,0.128,0,endoderm,LOC753678
0,1.3192206717963395,0.641,0.081,0,endoderm,LOC577317
0,1.2950899799255495,0.837,0.482,0,endoderm,LOC581963
0,1.2899048769168204,0.752,0.21,0,endoderm,LOC590588
0,1.2737891095301594,0.998,0.963,0,endoderm,LOC373192
0,1.272149577902084,0.905,0.418,0,endoderm,LOC105437737
0,1.2617184190153168,0.932,0.58,0,endoderm,LOC105440257
0,1.2177118300855152,0.313,0.021,0,endoderm,LOC589852
0,1.2144031983486485,0.35,0.026,0,endoderm,LOC587093
0,1.2012077318184309,0.977,0.794,0,endoderm,CyI
0,1.1926734999598843,0.555,0.041,0,endoderm,LOC100889153
0,1.1514701332495316,0.429,0.028,0,endoderm,LOC591980
0,1.115027572179038,0.827,0.438,0,endoderm,LOC587978
0,1.0958354511156083,0.464,0.038,0,endoderm,LOC577275
0,1.051105460895922,0.56,0.084,0,endoderm,LOC105438237
0,1.041441002793091,0.565,0.076,0,endoderm,LOC105437648
0,1.0358634378581912,0.757,0.247,0,endoderm,LOC105440873
0,1.0245499825940714,0.425,0.023,0,endoderm,LOC754321
0,1.0224388726066396,0.365,0.055,0,endoderm,LOC100892725
0,0.9998324016663425,0.524,0.068,0,endoderm,LOC753216
0,0.9946205939024131,0.475,0.072,0,endoderm,LOC579726
0,0.9648438261023791,0.956,0.707,0,endoderm,LOC578784
0,0.9495615341268469,0.973,0.728,0,endoderm,LOC763497
0,0.9324883832414399,0.789,0.316,0,endoderm,LOC591574
0,0.9135191594526249,0.892,0.524,0,endoderm,LOC590067
0,0.9055435966644614,0.864,0.452,0,endoderm,LOC594617
0,0.9018956548320566,0.453,0.096,0,endoderm,LOC575740
0,0.8920605469074051,0.293,0.02,0,endoderm,LOC593118
0,0.8860176629179223,0.614,0.163,0,endoderm,LOC100890592
0,0.8785832638391042,0.583,0.135,0,endoderm,LOC105441496
0,0.876241869846492,0.713,0.28,0,endoderm,LOC585434
0,0.8723155671312712,0.291,0.023,0,endoderm,LOC575337
0,0.8708058202202897,0.898,0.642,0,endoderm,LOC587294
0,0.8683452069657709,0.533,0.128,0,endoderm,LOC100893226
0,0.8572189184047296,0.738,0.313,0,endoderm,LOC588571
0,0.8558678196610887,0.358,0.019,0,endoderm,LOC764728
0,0.8165425057876132,0.387,0.046,0,endoderm,LOC105437109
0,0.8033466500091877,0.949,0.661,0,endoderm,LOC585216
0,0.8031934592589388,0.525,0.117,0,endoderm,LOC105437727
0,0.7868514021153261,0.855,0.475,0,endoderm,LOC574826
0,0.7754920760736292,0.415,0.08,0,endoderm,LOC592788
0,0.7725211258398077,0.842,0.446,0,endoderm,LOC576016
0,0.7140108204654823,0.38,0.055,0,endoderm,LOC105441402
0,0.704094820289453,0.901,0.601,0,endoderm,LOC588692
0,0.6973272877595379,0.362,0.052,0,endoderm,LOC105440463
0,0.6874755619810531,0.263,0.013,0,endoderm,LOC100893870
0,0.6840989189297173,0.375,0.068,0,endoderm,LOC577710
0,0.678700308402505,0.394,0.073,0,endoderm,LOC590815
0,0.665787687458865,0.329,0.034,0,endoderm,LOC587447
0,0.6649490999848631,0.979,0.881,0,endoderm,LOC580278
0,0.6551812943521496,0.339,0.048,0,endoderm,LOC577575
0,0.64560504876729,0.99,0.966,0,endoderm,LOC590740
0,0.6442501354194201,0.951,0.786,0,endoderm,LOC581822
0,0.6423180033870648,0.263,0.028,0,endoderm,LOC592232
0,0.6360173109530445,0.968,0.835,0,endoderm,LOC581523
0,0.6349455141957687,0.975,0.902,0,endoderm,LOC583082
0,0.6269150564317632,0.995,0.957,0,endoderm,LOC592285
0,0.6230386255791392,0.283,0.027,0,endoderm,LOC582612
0,0.6191176229217312,0.304,0.044,0,endoderm,LOC105439260
0,0.6132101438932536,0.285,0.026,0,endoderm,LOC582093
0,0.6119919317704956,0.294,0.027,0,endoderm,LOC579087
0,0.6079669938394532,0.949,0.761,0,endoderm,LOC594186
0,0.5898188075116808,0.98,0.941,0,endoderm,LOC580148
0,0.5883464604286166,0.96,0.867,0,endoderm,LOC592098
0,0.5856544593663346,0.948,0.862,0,endoderm,LOC589287
0,0.5815321084351366,0.972,0.922,0,endoderm,LOC586110
0,0.5807409084022344,0.981,0.937,0,endoderm,LOC585872
0,0.5689563145761318,0.959,0.884,0,endoderm,LOC586769
0,0.5598730795429235,0.215,0.01,0,endoderm,LOC755848
0,0.5506790673785762,0.978,0.943,0,endoderm,LOC576658
0,0.5416174740024386,0.98,0.944,0,endoderm,LOC373246
0,0.5340349842459999,0.976,0.912,0,endoderm,LOC578192
0,0.5322817549951622,0.978,0.933,0,endoderm,LOC574998
0,0.5278791727733418,0.975,0.933,0,endoderm,LOC589085
0,0.5225758231925464,0.993,0.962,0,endoderm,LOC576654
0,0.5097703505917246,0.987,0.948,0,endoderm,LOC577852
0,0.506884735479411,0.974,0.931,0,endoderm,rpl36
0,0.5063935775969455,0.991,0.973,0,endoderm,LOC579026
0,0.5056386899546852,0.975,0.928,0,endoderm,LOC583048
0,0.5036361892332653,0.988,0.955,0,endoderm,LOC592324
0,0.49975926234254686,0.992,0.977,0,endoderm,LOC591582
0,0.48313775030526385,0.985,0.951,0,endoderm,LOC576368
0,0.48309200124931495,0.993,0.983,0,endoderm,rps15a
0,0.4746917769375858,0.99,0.964,0,endoderm,LOC105436651
0,0.470720569401359,0.987,0.959,0,endoderm,LOC577040
0,0.46838373087190055,0.997,0.989,0,endoderm,LOC548620
0,0.4575875623255383,0.99,0.969,0,endoderm,LOC580957
0,0.45717585576772235,0.985,0.956,0,endoderm,LOC591874
0,0.43711087345864597,0.997,0.983,0,endoderm,LOC764368
0,0.42510562750064906,0.995,0.99,0,endoderm,LOC586345
1.94279591671402e-307,0.4766231373571581,0.983,0.954,4.239763529045006e-303,endoderm,LOC588157
2.97863787519591e-306,0.5923509185992505,0.202,0.015,6.500281435040035e-302,endoderm,LOC581825
1.0000643355846451e-305,0.6733211316963155,0.484,0.127,2.182440399546371e-301,endoderm,LOC105443132
8.307332960828546e-304,0.5125100974256087,0.973,0.937,1.8129092720416136e-299,endoderm,LOC592738
4.986864553311845e-303,0.4698594211021714,0.983,0.947,1.088283451469244e-298,endoderm,LOC578158
6.338351341205106e-303,0.49002241817160375,0.974,0.928,1.3832184131911902e-298,endoderm,LOC755731
4.587622854653508e-301,0.5329483612357931,0.261,0.032,1.001156935571035e-296,endoderm,LOC578973
4.433852638584219e-299,0.45183034992408944,0.985,0.957,9.675996613182342e-295,endoderm,LOC578794
9.788707769352096e-298,0.6703009078293778,0.251,0.029,2.136189696505708e-293,endoderm,LOC585147
1.5133376997197303e-293,0.5305676793978873,0.962,0.9,3.3025568620983674e-289,endoderm,LOC592965
5.259293459156976e-293,0.4874355553507175,0.974,0.927,1.1477356115918269e-288,endoderm,LOC584812
2.1985181050107016e-292,0.7361679017121192,0.508,0.147,4.797826060564854e-288,endoderm,LOC105437453
1.6170335394152097e-291,0.41698811148689297,0.992,0.97,3.528852293065812e-287,endoderm,LOC578034
2.4955246868989452e-289,0.7225280579227668,0.715,0.307,5.445983524219568e-285,endoderm,LOC584530
5.232535926720882e-288,0.4180857337516425,0.175,0.01,1.141896315288298e-283,endoderm,LOC105445919
4.704750216995225e-283,0.6446907677142184,0.9,0.648,1.0267176398548679e-278,endoderm,LOC580746
5.920837280858448e-283,0.3959575172941299,0.156,0.006,1.2921043198017391e-278,endoderm,LOC577214
1.777240520280564e-280,0.3945716677631016,0.149,0.005,3.8784719874082745e-276,endoderm,LOC105445464
3.371885347460204e-280,0.49194357603541006,0.969,0.907,7.358465393762402e-276,endoderm,LOC577989
1.1152884598998827e-276,0.4673657371514701,0.984,0.958,2.433894006039514e-272,endoderm,LOC579300
1.75628561775866e-276,0.6782494939888122,0.814,0.435,3.832742103634723e-272,endoderm,LOC593799
9.598301572661172e-276,0.539248312617729,0.254,0.033,2.0946373522018475e-271,endoderm,LOC100893412
1.2736829293420199e-275,0.6932759685301972,0.878,0.592,2.77955825670309e-271,endoderm,LOC587798
1.3205848769648432e-274,0.401917719705438,0.987,0.959,2.881912377000377e-270,endoderm,LOC593861
1.0579453464907016e-272,0.4690415124277836,0.981,0.944,2.308754129646658e-268,endoderm,LOC578151
9.477626378119567e-271,0.7874020232522922,0.877,0.566,2.068302404497033e-266,endoderm,LOC577764
3.3781516096906446e-270,0.35052743834145045,0.133,0.003,7.372140257827894e-266,endoderm,LOC593296
