p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
0,2.4832286640920955,0.837,0.141,0,endoderm,FoxA
0,2.130702867845362,0.855,0.241,0,endoderm,blimp1/krox
0,2.0096898661646625,0.901,0.264,0,endoderm,LOC373243
0,1.9922794733227134,0.908,0.259,0,endoderm,LOC100891660
0,1.8367584433013886,0.915,0.506,0,endoderm,LOC581963
0,1.6115526275650656,0.879,0.292,0,endoderm,LOC105437938
0,1.5097699936843183,0.987,0.682,0,endoderm,LOC105440257
0,1.4490944828768035,0.869,0.266,0,endoderm,Hbox7
0,1.4247608233381395,0.73,0.172,0,endoderm,LOC105438237
0,1.4086432108638909,0.709,0.157,0,endoderm,LOC576774
0,1.1318913003215538,0.589,0.113,0,endoderm,LOC591980
0,1.093058023285325,0.611,0.132,0,endoderm,LOC105441402
0,1.0814647035797762,0.614,0.138,0,endoderm,LOC575740
0,0.9955837808224526,0.786,0.266,0,endoderm,LOC105437737
0,0.9019753118906192,0.392,0.038,0,endoderm,LOC100890592
0,0.7452585306932441,0.305,0.033,0,endoderm,LOC582093
0,0.6883166699572788,0.332,0.036,0,endoderm,LOC100891209
0,0.6843541382594911,0.228,0.012,0,endoderm,LOC755848
9.25318407997629e-297,0.876816919743535,0.617,0.174,2.0193223617732256e-292,endoderm,LOC105440873
9.763091655104733e-283,0.7354792973994811,0.366,0.062,2.130599491893506e-278,endoderm,LOC105445055
8.032068746277269e-282,0.7428394910282689,0.519,0.119,1.7528383625000885e-277,endoderm,GATAe
1.538961225279218e-279,0.9187223327154963,0.901,0.698,3.3584750819268374e-275,endoderm,LOC581325
2.3628902108898098e-279,0.8127818399198038,0.44,0.093,5.156535307224832e-275,endoderm,LOC590815
2.356766741639177e-277,0.7932843580189224,0.969,0.917,5.143172060279176e-273,endoderm,LOC585594
5.4728060444870065e-267,0.9765413030689836,0.745,0.31,1.1943304630883995e-262,endoderm,LOC591161
8.187321227938208e-263,0.8017032087306957,0.546,0.149,1.786719111572955e-258,endoderm,LOC105441496
2.519334782840855e-262,1.0686592690635752,0.649,0.245,5.497944296593598e-258,endoderm,LOC100889512
4.407897312733648e-260,0.8113001994647482,0.474,0.108,9.61935430557864e-256,endoderm,Endo16
1.2470200553020832e-259,0.7440255604651556,0.824,0.443,2.721371866685736e-255,endoderm,LOC593520
2.193436475206212e-241,0.8265457751331275,0.536,0.164,4.7867364198425166e-237,endoderm,LOC105440463
1.8773655160638408e-239,0.8831206119093715,0.785,0.398,4.0969747657061194e-235,endoderm,LOC585801
7.58692488471458e-239,0.9009436809130119,0.524,0.161,1.6556946175912628e-234,endoderm,LOC581885
9.815712933941678e-235,0.821497878716664,0.583,0.187,2.1420830335740923e-230,endoderm,LOC100893226
5.837567534643306e-233,0.8970001000781902,0.295,0.049,1.2739323630852088e-228,endoderm,LOC100890028
1.15845470092103e-224,0.4543725205462885,0.197,0.018,2.5280956938199637e-220,endoderm,wnt1
3.3151970406235653e-219,0.6301383516228305,0.342,0.07,7.234754501752807e-215,endoderm,LOC575113
3.267024985127209e-209,0.781314420843193,0.725,0.344,7.129628625043108e-205,endoderm,LOC100888674
2.6288521155081932e-204,0.5054330527774163,0.223,0.029,5.73694397167353e-200,endoderm,LOC586563
2.208524711431193e-200,0.7887509344108573,0.247,0.039,4.8196634777562925e-196,endoderm,LOC100892725
4.351683813813343e-199,0.8958598301991343,0.793,0.464,9.496679586884859e-195,endoderm,LOC577764
1.0854543088369293e-188,0.6495393208986628,0.402,0.106,2.368786938174831e-184,endoderm,LOC105437727
1.1025809274109763e-182,0.5683996692752027,0.254,0.045,2.4061623578889736e-178,endoderm,LOC105442842
3.91147191201882e-182,0.7399050252014774,0.711,0.359,8.536005153598671e-178,endoderm,LOC590510
4.142036773109964e-182,0.38029780800141005,0.154,0.013,9.039166849957874e-178,endoderm,LOC100891572
2.2897729962787525e-160,0.4056800587611203,0.182,0.025,4.996971609779121e-156,endoderm,LOC100889086
1.982449517442315e-157,0.5681966529774621,0.278,0.062,4.3262995819143635e-153,endoderm,LOC579087
2.758809405692994e-157,0.5025350793015781,0.98,0.873,6.02054976604382e-153,endoderm,LOC592057
9.814611036104214e-155,0.537392008561977,0.921,0.798,2.1418425664090225e-150,endoderm,LOC578784
1.044383991270811e-153,0.4075326793500005,0.988,0.97,2.279159184150291e-149,endoderm,LOC548620
3.2613951307727655e-153,0.3095334953813898,0.116,0.008,7.1173425938854065e-149,endoderm,LOC100889153
1.1044866904105337e-151,0.6368734978644981,0.711,0.396,2.410321304482908e-147,endoderm,LOC594617
2.0739680365426177e-150,0.7446782917906052,0.655,0.323,4.526020446146955e-146,endoderm,eve
3.9059231116521554e-147,0.6540770329584507,0.703,0.407,8.523896006558498e-143,endoderm,LOC592550
5.105901112054365e-147,0.3846439708479572,0.161,0.021,1.1142607996836241e-142,endoderm,LOC577317
1.8313462175700402e-143,0.6065294821363123,0.606,0.289,3.996546850603099e-139,endoderm,LOC584530
1.9330514183914732e-138,0.6553199629293076,0.779,0.515,4.218498110355712e-134,endoderm,LOC591574
3.8528840096518046e-137,0.7123646983472711,0.961,0.914,8.408148774263134e-133,endoderm,LOC373192
2.2991511325062292e-136,0.5699328916785371,0.343,0.103,5.017437516468344e-132,endoderm,LOC590650
4.640619448217687e-134,0.5561488147265543,0.495,0.207,1.0127223821845458e-129,endoderm,LOC577855
5.226498215482908e-129,0.4653750065444438,0.28,0.072,1.140578705564835e-124,endoderm,LOC577883
6.325393184981507e-128,0.6071301511738745,0.693,0.408,1.3803905547585142e-123,endoderm,LOC582962
2.451110210745373e-127,1.2569809500687417,0.504,0.243,5.3490578129096273e-123,endoderm,LOC589478
1.5678434501763436e-124,0.5357466174785812,0.316,0.094,3.4215047613198346e-120,endoderm,LOC105439260
2.55030292607266e-122,1.0598271664727958,0.36,0.135,5.565526075568365e-118,endoderm,LOC105443490
7.141067331251641e-120,0.30414018647625607,0.982,0.957,1.5583951236990457e-115,endoderm,LOC592285
1.0291195857233723e-117,0.46158645423413297,0.186,0.036,2.2458476719241153e-113,endoderm,LOC591885
9.671676316607856e-117,0.6867357004471186,0.763,0.575,2.1106499225733324e-112,endoderm,LOC575247
1.5668985655592545e-115,0.6538742641236168,0.839,0.636,3.4194427396199614e-111,endoderm,CyI
3.6351574557739094e-115,0.5690806817747257,0.499,0.23,7.933004115735403e-111,endoderm,LOC373495
1.0205857895487749e-114,0.41184542150197345,0.221,0.052,2.2272243685322916e-110,endoderm,LOC581970
1.1521217354270065e-114,0.4126910252712588,0.226,0.055,2.5142752632223564e-110,endoderm,LOC592601
1.6854742350539962e-114,0.40061235656830474,0.211,0.048,3.6782104231583357e-110,endoderm,LOC584707
6.901007190197319e-114,0.5464716352520212,0.408,0.161,1.506006799116761e-109,endoderm,LOC100893443
4.539605787677699e-113,0.37998110017910525,0.147,0.023,9.906781710449042e-109,endoderm,LOC100892870
1.1125609396554493e-112,0.42335728752940094,0.933,0.856,2.427941738610087e-108,endoderm,LOC590740
5.3329957481103356e-111,0.41892776930282016,0.946,0.865,1.1638196621101185e-106,endoderm,LOC100892535
9.097451372902939e-111,0.5403626847038587,0.747,0.499,1.9853368131086084e-106,endoderm,LOC762428
1.0686788142597442e-110,0.7434546149833837,0.538,0.281,2.33217777635904e-106,endoderm,LOC582802
5.885870504930008e-110,0.5236323889640698,0.521,0.247,1.2844735202908757e-105,endoderm,LOC576795
5.018571084372469e-106,0.5816720964013624,0.668,0.403,1.0952027677426039e-101,endoderm,LOC581409
5.472152052830424e-106,0.31448599502881275,0.156,0.028,1.1941877424891835e-101,endoderm,LOC105441946
2.867444257927841e-105,0.5328830670879223,0.646,0.37,6.257623604075928e-101,endoderm,LOC575412
5.717651446553922e-103,0.3232251656301406,0.975,0.943,1.2477630751814624e-98,endoderm,HMG1
8.076878517950913e-102,0.40429657708918076,0.243,0.067,1.7626171989724277e-97,endoderm,LOC100892930
1.427880984115577e-101,0.4161714507592783,0.234,0.064,3.1160646716354235e-97,endoderm,LOC591435
2.368853226626986e-99,0.33958051939579625,0.168,0.035,5.169548396468071e-95,endoderm,LOC100891060
2.02993745579843e-98,0.42171272807222443,0.237,0.067,4.429932509788914e-94,endoderm,LOC576509
2.052842892476159e-98,0.4530298288217167,0.223,0.061,4.479919044250722e-94,endoderm,pkd2
2.4238974694101668e-98,0.2524076675391922,0.973,0.909,5.289671447493806e-94,endoderm,LOC576208
2.9542860598036125e-98,0.317935624018042,0.164,0.033,6.447138468309423e-94,endoderm,LOC100889860
