p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
0,2.7172966655865443,0.919,0.21,0,endoderm,LOC575684
0,2.567865066862856,0.757,0.173,0,endoderm,LOC591984
0,2.545978636587964,0.831,0.195,0,endoderm,blimp1/krox
0,2.543278027880786,0.854,0.193,0,endoderm,LOC575553
0,2.4430182598769323,0.835,0.156,0,endoderm,Endo16
0,2.2214969097259853,0.792,0.143,0,endoderm,LOC753678
0,2.16245597331384,0.665,0.053,0,endoderm,LOC589852
0,1.9695622800305381,0.773,0.083,0,endoderm,GATAe
0,1.835981448145604,0.796,0.083,0,endoderm,LOC577275
0,1.808262186963969,0.58,0.043,0,endoderm,LOC587093
0,1.7748206089291407,0.782,0.071,0,endoderm,LOC575445
0,1.6707214671960502,0.938,0.362,0,endoderm,FoxA
0,1.6376145700692029,0.97,0.497,0,endoderm,LOC585801
0,1.4210143252179255,0.922,0.33,0,endoderm,LOC105437737
0,1.4096176894809505,0.999,0.939,0,endoderm,LOC373192
0,1.4064020519357099,0.469,0.031,0,endoderm,LOC593118
0,1.3652790765529246,0.995,0.783,0,endoderm,CyI
0,1.3443348950876117,0.679,0.086,0,endoderm,LOC577317
0,1.2794168166284605,0.444,0.027,0,endoderm,LOC581825
0,1.2450739922075558,0.268,0.012,0,endoderm,LOC105446895
0,1.2310804240157596,0.621,0.052,0,endoderm,LOC100889153
0,1.1798405030524488,0.537,0.031,0,endoderm,LOC754321
0,1.1718811196355032,0.466,0.027,0,endoderm,LOC587094
0,1.1391583426188985,0.748,0.256,0,endoderm,LOC590588
0,1.1348559338216915,0.789,0.215,0,endoderm,LOC105440873
0,1.1329872422109961,0.646,0.097,0,endoderm,LOC753216
0,1.1306934163206628,0.996,0.71,0,endoderm,LOC763497
0,1.087172880430856,0.925,0.523,0,endoderm,LOC587978
0,1.0791544781522193,0.372,0.042,0,endoderm,LOC100892725
0,1.0711520204944602,0.455,0.013,0,endoderm,LOC764728
0,1.0681009953654526,0.589,0.087,0,endoderm,LOC592788
0,1.0633852894223457,0.403,0.024,0,endoderm,LOC575337
0,1.049992813787049,0.464,0.039,0,endoderm,LOC577710
0,1.041994976533952,0.633,0.106,0,endoderm,LOC105437648
0,1.008076255053325,0.684,0.184,0,endoderm,LOC590362
0,1.0069910560047626,0.462,0.034,0,endoderm,LOC592232
0,0.9880117504975497,0.454,0.046,0,endoderm,LOC579726
0,0.9766753354769717,0.985,0.688,0,endoderm,LOC578784
0,0.9740561743535561,0.593,0.144,0,endoderm,LOC105437938
0,0.9550691480085917,0.627,0.125,0,endoderm,LOC105441496
0,0.95314121241056,0.938,0.498,0,endoderm,LOC590067
0,0.9519868074448519,0.98,0.661,0,endoderm,LOC587294
0,0.9484499095646461,0.421,0.042,0,endoderm,LOC752402
0,0.9420110536475859,0.329,0.021,0,endoderm,LOC591980
0,0.9084621518283812,0.445,0.029,0,endoderm,LOC587447
0,0.8768659814645194,0.827,0.37,0,endoderm,LOC588571
0,0.86182546338438,0.493,0.08,0,endoderm,LOC105437727
0,0.8499525435819106,0.857,0.425,0,endoderm,LOC574826
0,0.8353909140178153,0.916,0.515,0,endoderm,LOC594617
0,0.8305893169145695,0.334,0.021,0,endoderm,LOC582381
0,0.8243125528695497,0.768,0.306,0,endoderm,LOC591574
0,0.8035873916495964,0.627,0.214,0,endoderm,LOC100890592
0,0.7794986743776038,0.986,0.722,0,endoderm,LOC585216
0,0.7657439559640165,0.882,0.458,0,endoderm,LOC576016
0,0.7607958073146153,0.437,0.093,0,endoderm,LOC105437453
0,0.7593195675811143,0.323,0.015,0,endoderm,LOC100893870
0,0.7554581581979055,0.3,0.019,0,endoderm,LOC587936
0,0.7535941229738323,0.894,0.551,0,endoderm,LOC579838
0,0.7524615750446788,0.995,0.82,0,endoderm,LOC580278
0,0.7521033395511654,0.903,0.544,0,endoderm,LOC762428
0,0.7501407731426568,0.382,0.041,0,endoderm,LOC578973
0,0.7462700275349851,0.319,0.042,0,endoderm,LOC585147
0,0.7336474433655528,0.314,0.005,0,endoderm,LOC105438660
0,0.7335860007526924,0.411,0.063,0,endoderm,LOC590815
0,0.730216261094137,0.472,0.12,0,endoderm,LOC592990
0,0.7247441645410988,0.993,0.734,0,endoderm,LOC581822
0,0.7195067855419599,0.818,0.418,0,endoderm,LOC581649
0,0.7150485882518659,0.292,0.011,0,endoderm,LOC762564
0,0.7067178213761096,0.307,0.014,0,endoderm,LOC100893874
0,0.6972083812481409,0.988,0.749,0,endoderm,LOC594186
0,0.6954023707004335,1,0.918,0,endoderm,LOC583082
0,0.6666853601667282,1,0.997,0,endoderm,LOC590740
0,0.6610097493234213,0.971,0.738,0,endoderm,LOC580746
0,0.6600341004574605,0.338,0.055,0,endoderm,LOC105438237
0,0.6597122389003217,0.367,0.054,0,endoderm,LOC100892870
0,0.646607937820429,0.321,0.02,0,endoderm,LOC579087
0,0.6234688344606073,0.262,0.008,0,endoderm,LOC754064
0,0.6143087540927219,1,0.995,0,endoderm,LOC580148
0,0.611115841689561,0.998,0.968,0,endoderm,LOC592098
0,0.6070607570290676,0.999,0.984,0,endoderm,LOC586110
0,0.6059217433300863,1,0.983,0,endoderm,LOC592285
0,0.6056438717602032,0.249,0.007,0,endoderm,LOC583122
0,0.6034763999599972,0.991,0.805,0,endoderm,LOC581523
0,0.588963612842405,1,0.979,0,endoderm,LOC589287
0,0.585235397303808,0.999,0.976,0,endoderm,LOC578192
0,0.5734459475833236,0.214,0.009,0,endoderm,LOC575703
0,0.5720578419835904,1,0.997,0,endoderm,LOC585872
0,0.5635803238118915,0.999,0.981,0,endoderm,LOC592965
0,0.5621577360100884,1,0.99,0,endoderm,LOC757058
0,0.5615717002554395,0.261,0.019,0,endoderm,LOC582612
0,0.5530821025253934,0.999,0.989,0,endoderm,LOC586769
0,0.5511008681521199,0.204,0.004,0,endoderm,LOC100890938
0,0.5502609828092111,1,0.992,0,endoderm,LOC576658
0,0.5480638307403729,1,0.996,0,endoderm,LOC576654
0,0.5446892987287897,1,0.993,0,endoderm,LOC574998
0,0.5440220995500575,0.99,0.894,0,endoderm,LOC579559
0,0.5425551966723625,1,0.995,0,endoderm,LOC373246
0,0.5398728379042419,0.994,0.892,0,endoderm,LOC581143
0,0.5385716163253207,1,0.997,0,endoderm,LOC579026
0,0.5382583870775095,0.999,0.992,0,endoderm,rpl36
0,0.5325957139155091,0.998,0.983,0,endoderm,LOC579897
0,0.5296473527595471,1,0.993,0,endoderm,LOC589085
0,0.5290026153163221,1,0.995,0,endoderm,LOC577852
0,0.5243262865346172,1,0.99,0,endoderm,LOC592738
0,0.5223352402968047,0.997,0.944,0,endoderm,LOC574574
0,0.5208688773744523,1,0.999,0,endoderm,rps15a
0,0.5178775718627069,1,0.996,0,endoderm,LOC588157
0,0.5168229057635427,0.998,0.968,0,endoderm,LOC590220
0,0.5162160100738633,0.182,0.008,0,endoderm,LOC587631
0,0.5064802163415512,0.21,0.005,0,endoderm,LOC593296
0,0.5052410666242722,1,0.99,0,endoderm,LOC583048
0,0.5046683319432645,1,0.983,0,endoderm,LOC577989
0,0.4997299766812402,1,0.991,0,endoderm,LOC755731
0,0.49885325002588043,0.999,0.995,0,endoderm,LOC578158
0,0.4974054178943348,1,0.996,0,endoderm,LOC579300
0,0.4973683110331515,0.999,0.997,0,endoderm,LOC592324
0,0.4969110593789479,0.21,0.005,0,endoderm,LOC577214
0,0.49347863707902556,0.236,0.023,0,endoderm,LOC100893412
0,0.4918954958252273,0.218,0.007,0,endoderm,LOC105445464
0,0.4916027284190103,1,0.999,0,endoderm,LOC591582
0,0.4912458801392052,1,0.983,0,endoderm,LOC580462
0,0.4905850354611325,1,0.989,0,endoderm,LOC584812
0,0.48646565160761845,0.998,0.964,0,endoderm,LOC105441189
0,0.4841389200583537,1,0.993,0,endoderm,LOC578151
0,0.4824792760765888,1,0.998,0,endoderm,LOC105436651
0,0.4809662614496606,1,0.98,0,endoderm,LOC593744
0,0.47785809206337637,1,0.998,0,endoderm,LOC580957
0,0.4722633467251933,1,0.998,0,endoderm,LOC577040
0,0.4688697568614466,1,0.995,0,endoderm,LOC581803
0,0.46734836539118296,1,0.996,0,endoderm,LOC576368
0,0.46148016141712134,1,0.994,0,endoderm,LOC752328
0,0.45935630745791567,1,0.991,0,endoderm,LOC581196
0,0.4589211175181216,1,0.999,0,endoderm,LOC764368
0,0.45668527023263117,1,0.998,0,endoderm,LOC578794
0,0.4564075793696625,0.999,0.987,0,endoderm,rps14
0,0.45339552583695886,1,0.998,0,endoderm,LOC591874
0,0.4521069412321812,0.999,0.956,0,endoderm,LOC765147
0,0.4517802192876914,1,0.99,0,endoderm,LOC578672
0,0.4461083801262564,1,1,0,endoderm,LOC586345
0,0.4427619471471518,1,0.998,0,endoderm,LOC764436
0,0.4388370476371115,1,0.997,0,endoderm,LOC591809
0,0.4376164623943999,1,0.998,0,endoderm,LOC592626
0,0.4296601471836987,1,0.975,0,endoderm,LOC753159
0,0.4280194739225747,0.181,0.004,0,endoderm,LOC584897
0,0.4259841590337454,1,0.999,0,endoderm,LOC578034
0,0.4123704784401733,0.187,0.011,0,endoderm,LOC582064
0,0.4076214378005836,1,0.999,0,endoderm,LOC589961
0,0.4043973758148147,0.999,0.993,0,endoderm,LOC576760
0,0.3883448736884061,1,0.999,0,endoderm,LOC593861
0,0.38305092023151177,1,0.999,0,endoderm,LOC584560
0,0.37200758952888785,0.161,0.004,0,endoderm,LOC754762
0,0.35905205238801763,1,1,0,endoderm,LOC548620
4.631507114469257e-308,0.7358840307250749,0.746,0.326,1.010733797590626e-303,endoderm,LOC584530
