p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
0,2.391543721789337,0.917,0.236,0,endoderm,FoxA
0,2.157931090692262,0.824,0.193,0,endoderm,blimp1/krox
0,1.8761802618518122,0.935,0.505,0,endoderm,LOC581963
0,1.7252524013770716,0.505,0.096,0,endoderm,LOC575553
0,1.7112466142983056,0.859,0.194,0,endoderm,LOC100891660
0,1.6621453509033541,0.789,0.187,0,endoderm,LOC373243
0,1.5601626319423874,0.896,0.271,0,endoderm,LOC105437938
0,1.4027508408650866,0.989,0.726,0,endoderm,LOC105440257
0,1.3558250559672045,0.735,0.149,0,endoderm,LOC105438237
0,1.2483926384447233,0.988,0.936,0,endoderm,LOC373192
0,1.2465736874635458,0.68,0.122,0,endoderm,LOC575740
0,1.2460176026390626,0.622,0.09,0,endoderm,GATAe
0,1.2184558691050682,0.582,0.051,0,endoderm,LOC591980
0,1.1688010148968542,0.866,0.35,0,endoderm,LOC105437737
0,1.1281536642032273,0.924,0.694,0,endoderm,CyI
0,1.1001355011043035,0.619,0.139,0,endoderm,Endo16
0,1.0443064872568817,0.537,0.071,0,endoderm,LOC100890592
0,1.0377161172362688,0.68,0.22,0,endoderm,Hbox7
0,1.0365634043474756,0.833,0.399,0,endoderm,LOC585801
0,1.0280967434761599,0.596,0.102,0,endoderm,LOC105441402
0,1.0113121928126936,0.348,0.017,0,endoderm,LOC755848
0,1.004739729987838,0.73,0.211,0,endoderm,LOC105440873
0,0.9664031422686404,0.453,0.042,0,endoderm,LOC575445
0,0.9178884763424894,0.526,0.1,0,endoderm,LOC590815
0,0.9017265526774548,0.406,0.025,0,endoderm,LOC582093
0,0.8942523014870358,0.62,0.156,0,endoderm,LOC105441496
0,0.8668864422534119,0.78,0.276,0,endoderm,LOC591161
0,0.8308852413095519,0.332,0.018,0,endoderm,LOC100889153
0,0.8138046983246324,0.268,0.024,0,endoderm,LOC575684
0,0.812133236515905,0.47,0.104,0,endoderm,LOC105440463
0,0.8078243093984516,0.352,0.032,0,endoderm,LOC577317
0,0.7814350833787995,0.96,0.795,0,endoderm,LOC578784
6.396098794849606e-303,0.8105185937070829,0.935,0.696,1.3958206400000295e-298,endoderm,LOC581325
1.5896813609292335e-300,0.6115579054975411,0.282,0.033,3.469161633955866e-296,endoderm,LOC105437648
3.8426344305316927e-296,0.9243061269256603,0.787,0.401,8.385781117749313e-292,endoderm,LOC591574
4.490445176618003e-286,0.5409521789265537,0.254,0.026,9.799498508933469e-282,endoderm,LOC100891209
7.7565899275435375e-286,0.48395151094866407,0.99,0.961,1.692720619887826e-281,endoderm,LOC592285
3.348855370454591e-284,0.8620899550100257,0.277,0.035,7.308207074943054e-280,endoderm,LOC100892725
2.732453401400003e-282,0.81613472421322,0.557,0.164,5.963033057875226e-278,endoderm,LOC100893226
4.841919647334314e-282,0.8768522997542434,0.79,0.376,1.0566521246377674e-277,endoderm,LOC100888674
2.515048662645772e-274,0.6990120113074623,0.479,0.116,5.488590696491868e-270,endoderm,LOC105437727
