p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
2.5531433286389288e-197,0.9616492623070381,0.859,0.193,5.571724686088734e-193,endoderm,Hbox7
3.1091838254712905e-191,1.6610786563329076,0.986,0.474,6.785171862325997e-187,endoderm,eve
3.2185608921053805e-162,0.722145301282506,0.655,0.113,7.023865434841572e-158,endoderm,LOC584138
2.5196519292496476e-151,0.9709158570803079,0.957,0.326,5.498636405201506e-147,endoderm,blimp1/krox
4.2050145196341276e-148,1.0827379786124693,0.992,0.74,9.176603186197557e-144,endoderm,LOC105440257
4.735291019897357e-143,0.9617939574992922,0.957,0.311,1.0333825592722e-138,endoderm,LOC373243
8.176579165594948e-137,1.0337497152710209,0.986,0.558,1.7843748713077854e-132,endoderm,LOC100889188
3.761763612092985e-113,0.6643640994341038,0.701,0.201,8.209296730670521e-109,endoderm,LOC100889512
6.350272523002271e-113,0.8102219850375184,0.832,0.26,1.3858199726947856e-108,endoderm,LOC100891660
4.1177382462646304e-95,0.9287913486527506,0.902,0.467,8.986140174823303e-91,endoderm,LOC576715
2.2237511285962377e-86,0.6498361722819668,0.992,0.892,4.8528920879355696e-82,endoderm,LOC100888674
6.345489274094775e-70,0.4320012060432954,0.995,0.971,1.3847761242857029e-65,endoderm,LOC592057
1.117855657262751e-68,0.41256980201354915,0.462,0.118,2.4394964008445015e-64,endoderm,LOC575412
4.2738546894657507e-63,0.5583532156123039,0.984,0.816,9.326833088821109e-59,endoderm,LOC105437938
5.6899274807095035e-61,0.5703175960739733,0.976,0.778,1.241712874115235e-56,endoderm,LOC100888601
2.699237236772017e-52,0.5239497564693718,0.736,0.362,5.890545421807572e-48,endoderm,LOC100890901
5.33602937328588e-52,0.48566849814809143,0.948,0.721,1.1644816901321776e-47,endoderm,LOC100889104
1.1499408463675768e-48,0.4866515399639839,0.946,0.663,2.509515909027963e-44,endoderm,LOC105438846
3.6123891723261744e-43,0.5228895531684363,0.924,0.683,7.88331689076741e-39,endoderm,LOC100888533
1.417585892962455e-40,0.5203309326901969,0.742,0.435,3.0935976942119655e-36,endoderm,Not
3.4990829018707213e-39,0.37651153793640446,0.837,0.536,7.636048616752475e-35,endoderm,LOC105441402
5.213599496567017e-32,0.3231867455611467,0.707,0.418,1.1377638181358201e-27,endoderm,LOC105438237
1.404546184905065e-25,0.2520879847881655,0.315,0.122,3.0651411393183233e-21,endoderm,LOC105440761
4.1245441093385885e-25,0.5006258510283091,0.451,0.236,9.000992609809602e-21,endoderm,LOC100892641
1.610756515505631e-22,0.3109087908022268,0.856,0.66,3.515153943787939e-18,endoderm,LOC100888863
2.0584375029224796e-18,0.2581486214608102,0.986,0.938,4.4921281626277274e-14,endoderm,LOC575259
0,2.325486231891629,0.798,0.028,0,skeletal,LOC575151
0,2.3075332146300176,0.992,0.121,0,skeletal,LOC105438574
0,1.7518498425460927,0.976,0.102,0,skeletal,delta
0,1.677565375558287,0.956,0.073,0,skeletal,LOC585895
0,0.9508432159725562,0.595,0.018,0,skeletal,LOC577883
5.500678865995264e-292,1.0209722353548703,0.496,0.01,1.2004131489261465e-287,skeletal,SpP19L
