Gene,RNA tissue specificity,RNA tissue distribution,RNA tissue specificity score,RNA tissue specific NX,RNA single cell type specificity,RNA single cell type distribution,RNA single cell type specificity score,RNA single cell type specific NX
GCM1,Tissue enriched,Detected in some,22,placenta: 102.4,Group enriched,Detected in some,7,Extravillous trophoblasts: 166.4;Syncytiotrophoblasts: 222.5
GCM2,Tissue enriched,Detected in some,24,parathyroid gland: 110.5,Not detected,Not detected,NA,NA
NANOS2,Tissue enriched,Detected in single,26,testis: 8.5,Not detected,Not detected,NA,NA
SIX6,Tissue enriched,Detected in some,4,pituitary gland: 43.3,Cell type enhanced,Detected in some,33,Cone photoreceptor cells: 27.5;Horizontal cells: 46.1;Muller glia cells: 158.1
SLC10A1,Tissue enriched,Detected in some,44,liver: 121.2,Cell type enriched,Detected in some,13,Hepatocytes: 130.2
SLC10A2,Tissue enriched,Detected in some,4,intestine: 40.9,Group enriched,Detected in some,29,Enterocytes: 5.1;Proximal tubular cells: 6.4
SLC15A1,Tissue enriched,Detected in many,8,intestine: 134.9,Cell type enhanced,Detected in many,16,Cholangiocytes: 30.6;Enterocytes: 51.2;Hepatocytes: 29.9
SLC15A5,Group enriched,Detected in some,12,adipose tissue: 1.9;brain: 1.6;breast: 1.2;testis: 1.4,Cell type enhanced,Detected in single,35,Early spermatids: 2.2
SLC1A3,Tissue enriched,Detected in many,11,brain: 188.6,Cell type enriched,Detected in many,9,Muller glia cells: 579.8
SLC1A2,Tissue enriched,Detected in many,8,brain: 160.9,Cell type enhanced,Detected in many,14,Cone photoreceptor cells: 139.4;Early spermatids: 85.3;Rod photoreceptor cells: 160.3;Syncytiotrophoblasts: 225.3
SLC1A6,Group enriched,Detected in some,4,brain: 52.1;testis: 23.3,Cell type enhanced,Detected in some,11,Bipolar cells: 12.3;Early spermatids: 29.3;Horizontal cells: 22.3;Late spermatids: 27.3;Syncytiotrophoblasts: 33.4
SLC1A7,Tissue enriched,Detected in many,7,retina: 70.1,Group enriched,Detected in some,17,Bipolar cells: 228.0;Cone photoreceptor cells: 66.8;Rod photoreceptor cells: 66.6
SLC22A24,Tissue enriched,Detected in some,5,kidney: 10.5,Cell type enriched,Detected in single,30,Proximal tubular cells: 8.4
SLC22A1,Tissue enriched,Detected in some,24,liver: 175.8,Cell type enriched,Detected in some,16,Hepatocytes: 709.2
SLC22A10,Tissue enriched,Detected in some,32,liver: 41.7,Cell type enriched,Detected in some,13,Hepatocytes: 15.5
SLC22A11,Group enriched,Detected in some,10,epididymis: 22.2;kidney: 47.6;placenta: 64.7,Group enriched,Detected in some,17,Cytotrophoblasts: 554.5;Syncytiotrophoblasts: 1271.5
SLC22A12,Tissue enriched,Detected in single,349,kidney: 70.1,Cell type enriched,Detected in some,18,Proximal tubular cells: 149.1
SLC22A13,Tissue enriched,Detected in some,7,kidney: 16.4,Cell type enriched,Detected in single,23,Proximal tubular cells: 6.5
SLC22A14,Tissue enriched,Detected in some,8,testis: 13.2,Group enriched,Detected in some,44,Early spermatids: 57.6;Late spermatids: 81.6
SLC22A2,Tissue enriched,Detected in some,9,kidney: 61.8,Group enriched,Detected in some,13,Distal tubular cells: 77.9;Proximal tubular cells: 187.0
SLC22A25,Tissue enriched,Detected in single,165,liver: 16.5,Cell type enriched,Detected in single,9,Hepatocytes: 5.8
SLC22A31,Group enriched,Detected in some,21,brain: 39.3;lung: 50.7;pancreas: 69.7,Cell type enriched,Detected in some,6,Alveolar cells type 2: 129.3
SLC22A6,Tissue enriched,Detected in some,10,kidney: 94.2,Cell type enriched,Detected in some,14,Proximal tubular cells: 213.4
SLC22A7,Tissue enriched,Detected in some,6,liver: 88.9,Group enriched,Detected in some,16,Hepatocytes: 185.6;Proximal tubular cells: 86.1
SLC22A8,Group enriched,Detected in some,341,brain: 33.7;kidney: 127.3;retina: 93.5,Cell type enriched,Detected in some,30,Proximal tubular cells: 197.4
SLC22A9,Tissue enriched,Detected in some,11,liver: 32.2,Cell type enhanced,Detected in some,30,Cholangiocytes: 2.5;granulocytes: 4.6;Hepatocytes: 12.7
SLC24A1,Tissue enriched,Detected in all,7,retina: 91.1,Cell type enriched,Detected in many,11,Rod photoreceptor cells: 301.7
SLC24A2,Tissue enriched,Detected in some,5,brain: 31.8,Group enriched,Detected in some,18,Bipolar cells: 68.2;Cone photoreceptor cells: 257.2;Horizontal cells: 92.2
SLC24A5,Tissue enriched,Detected in some,5,retina: 71.9,Cell type enriched,Detected in some,4,Melanocytes: 72.6
SLC25A41,Group enriched,Detected in some,10,brain: 8.1;testis: 26.5,Cell type enriched,Detected in some,8,Early spermatids: 91.3
SLC25A15,Group enriched,Detected in many,5,intestine: 26.0;liver: 66.4;pancreas: 24.9,Group enriched,Detected in many,4,Extravillous trophoblasts: 37.5;Hepatocytes: 30.8
SLC25A18,Group enriched,Detected in many,8,adipose tissue: 13.1;brain: 49.0;liver: 50.0,Cell type enhanced,Detected in many,18,Alveolar cells type 1: 26.8;Alveolar cells type 2: 15.9;Ciliated cells: 28.1;Hepatocytes: 67.6
SLC25A2,Tissue enriched,Detected in single,27,testis: 12.6,Group enriched,Detected in some,9,Early spermatids: 8.6;Late spermatids: 8.3;Spermatocytes: 2.2
SLC25A31,Tissue enriched,Detected in single,687,testis: 68.6,Cell type enriched,Detected in some,9,Spermatocytes: 113.2
SLC25A4,Group enriched,Detected in all,5,heart muscle: 163.7;skeletal muscle: 92.5;tongue: 62.4,Cell type enriched,Detected in many,5,Cardiomyocytes: 4236.1
SLC25A47,Tissue enriched,Detected in some,88,liver: 127.2,Cell type enriched,Detected in some,21,Hepatocytes: 185.9
SLC25A52,Tissue enriched,Detected in some,17,testis: 18.2,Group enriched,Detected in some,10,Early spermatids: 41.8;Late spermatids: 77.2
UCP1,Group enriched,Detected in some,5,adipose tissue: 2.4;adrenal gland: 8.4;breast: 2.2;heart muscle: 7.1,Cell type enhanced,Detected in single,24,Syncytiotrophoblasts: 1.9
