GeneID,Name
LOC373526,Sp-Abca1
LOC100890089,Sp-Abca1_1
LOC100891819,Sp-Abca1_2
LOC589328,Sp-Abca1_3
LOC593710,Sp-Abca2
LOC586285,Sp-Abca3
LOC100889997,Sp-Abca4
LOC594376,Sp-Abca5_2
LOC100889906,Sp-Abca7L
LOC594802,Sp-Abca10a
LOC583333,Sp-Abcb6
LOC577121,Sp-Abcb7
LOC754756,Sp-Abcb8
LOC100892777,Sp-Abcb9a
LOC575393,Sp-Abcb9b
LOC754911,Sp-Abcb10a
LOC115926730,Sp-Abcb10b
LOC594397,Sp-Abcc9a
LOC585445,Sp-Abcc9b
LOC105437528,Sp-Abcc9c
LOC577854,Sp-Abcc9d
LOC593157,Sp-Abcc10a
LOC100888848,Sp-Abcc10b
LOC578413,Sp-Abcg2b
LOC754353,Sp-Abcg4
LOC100890965,Sp-Abcg5
LOC590101,Sp-Abcg11
LOC115918890,Sp-Abcg12
LOC591668,Sp-ABCB1a
LOC756756,Sp-Abcb4a
LOC578540,Sp-Abcg2A
LOC580222,Sp-Abcg2C
LOC590074,Sp-Abcc5A
LOC591344,Sp-Abcc1b
LOC591982,Sp-Abcc4a
LOC579421,Sp-Abcc4b
LOC752233,Sp-Abcc4d
LOC755624,Sp-Abcc4c
ABCC5a,ABCC5a
ABCB1,ABCB1
abcb4,abcb4
ABCC1,ABCC1
ABCC9a,ABCC9a
