GeneID,Name
LOC578933,G-protein coupled receptor GRL101
LOC100889318,regulator of G-protein signaling 12
LOC105439243,adhesion G-protein coupled receptor G2-like
LOC105439174,adhesion G-protein coupled receptor G2-like
LOC105439175,adhesion G-protein coupled receptor G2-like
LOC591311,adhesion G-protein coupled receptor G2-like
LOC100888602,probable G-protein coupled receptor 156
LOC105437365,adhesion G-protein coupled receptor G6-like
LOC100889469,G-protein coupled receptor moody
LOC105438207,adhesion G-protein coupled receptor D1-like
LOC585385,G-protein coupled receptor GRL101
LOC591312,G-protein coupled receptor GRL101
LOC581458,G-protein coupled receptor GRL101
LOC100888395,G-protein coupled receptor GRL101-like
LOC580450,G-protein coupled receptor GRL101
LOC100894075,G-protein coupled receptor 54
LOC589900,regulator of G-protein signaling 20
LOC100890345,adhesion G-protein coupled receptor G2
LOC594516,adhesion G-protein coupled receptor G2-like
LOC100891988,adhesion G-protein coupled receptor G6
LOC105445253,adhesion G-protein coupled receptor G2-like
LOC105444792,G-protein coupled receptor moody-like
LOC588933,adhesion G-protein coupled receptor G2-like
LOC100888622,probable G-protein coupled receptor No18
LOC764502,probable G-protein coupled receptor No18
LOC105445330,adhesion G-protein coupled receptor G6-like
LOC105447497,adhesion G-protein coupled receptor G2-like
LOC105443321,adhesion G-protein coupled receptor G2-like
LOC105439176,adhesion G-protein coupled receptor G2-like
LOC100888677,adhesion G-protein coupled receptor G2-like
LOC763985,probable G-protein coupled receptor 19
LOC100890960,G-protein coupled receptor GRL101
LOC575606,adhesion G-protein coupled receptor G7
LOC753585,adhesion G-protein coupled receptor G6
LOC100889710,G-protein coupled receptor 54
LOC588225,G-protein coupled receptor 54-like
LOC100894078,G-protein coupled receptor moody
LOC754228,G-protein coupled receptor moody
LOC105436585,adhesion G-protein coupled receptor D1-like
LOC593627,G-protein coupled receptor 143
LOC105438595,G-protein coupled receptor moody-like
LOC580577,G-protein coupled receptor moody
LOC105442517,G-protein coupled receptor GRL101-like
LOC105442528,G-protein coupled receptor GRL101-like
LOC105442513,G-protein coupled receptor GRL101-like
LOC583487,probable G-protein coupled receptor No18
LOC584164,adhesion G-protein coupled receptor G7
LOC100889746,adhesion G-protein coupled receptor G6
LOC105445830,adhesion G-protein coupled receptor G6-like
LOC584798,adhesion G-protein coupled receptor G2
LOC105437511,adhesion G-protein coupled receptor G6-like
LOC105437510,adhesion G-protein coupled receptor G6
LOC105436835,adhesion G-protein coupled receptor G6-like
LOC100891662,G-protein coupled receptor GRL101
LOC100889630,leucine-rich repeat-containing G-protein coupled receptor 6-like
LOC105438535,G-protein coupled receptor GRL101-like
LOC581978,adhesion G-protein coupled receptor G4
LOC594685,G-protein coupled receptor GRL101
LOC100893202,probable G-protein coupled receptor 21
LOC100893625,adhesion G-protein coupled receptor G2
LOC588980,regulator of G-protein signaling 8
LOC590973,G-protein coupled receptor GRL101
LOC576914,regulator of G-protein signaling 7
LOC579893,probable G-protein coupled receptor No18
LOC100889046,adhesion G-protein coupled receptor G2
LOC577948,G-protein coupled receptor moody-like
LOC752281,G-protein coupled receptor moody-like
LOC592144,adhesion G-protein coupled receptor G4
LOC584366,G-protein coupled receptor GRL101
LOC105443551,G-protein coupled receptor moody-like
LOC579186,adhesion G-protein coupled receptor G2
LOC105446187,probable G-protein coupled receptor 158
LOC100891328,adhesion G-protein coupled receptor G2
LOC100888258,probable G-protein coupled receptor CG31760
LOC752967,probable G-protein coupled receptor 21
LOC753109,G-protein coupled receptor moody-like
LOC763583,G-protein coupled receptor 54
LOC105446704,G-protein coupled receptor GRL101-like
LOC592565,G protein-activated inward rectifier potassium channel 3
LOC100890539,adhesion G protein-coupled receptor B1
Tcf/Lef,HMG protein Tcf/Lef
LOC100890574,adhesion G protein-coupled receptor L4
LOC100892321,adhesion G protein-coupled receptor E3
LOC100892241,adhesion G protein-coupled receptor E2
LOC100888146,adhesion G protein-coupled receptor L3
LOC756375,G protein-coupled receptor kinase 5
LOC762521,adhesion G protein-coupled receptor A3
LOC575827,adhesion G protein-coupled receptor A3
LOC105436561,adhesion G protein-coupled receptor E3-like
LOC105445869,adhesion G protein-coupled receptor L3-like
LOC100889951,adhesion G protein-coupled receptor L4
LOC576873,G protein pathway suppressor 2
LOC753043,adhesion G protein-coupled receptor L1
LOC100891565,adhesion G protein-coupled receptor L2
LOC581835,probable G protein-coupled receptor 85
LOC579094,adhesion G protein-coupled receptor L3
