GeneID,Name
LOC580005,Sphk1 
LOC576030,Ppap2b 
LOC582470,Ppapdc1 
LOC582069,Sgpp2 
LOC585643,Sgpl1 
LOC585628,Sgpl1_1 
LOC105442196,Pger2ep4 
LOC591775,Ptger3 
LOC584887,Ptges2 
LOC589330,Ptgr1 
LOC591898,Hpgd 
LOC577813,Adsr 
LOC594421,Adora2b
LOC582743,Adora2b_1 
LOC574069,Sac 
LOC579864,Pde4Bi1 
LOC594283,Pde2a 
LOC115922298,Pde2al
LOC592555,Lktnh 
LOC584003,Mgst2 
LOC577955,Cyp4L3 
LOC581062,ColL 
LOC578821,Cyp3L7 
LOC579107,Aytl2 
LOC582743,Adora2b_1 
LOC115928761,Adrb1L_5 
LOC581556,Agtr1 
LOC105445887,Apod 
LOC578134,Cyp2L36 
LOC578821,Cyp3L7 
LOC100893289,Drd1_3 
LOC100891731,Hrh2_3 
LOC580778,Lpcat3_1 
LOC756125,Spnsh1 
LOC100893370,Sstr4L 
LOC577016,Sstr4L_1 
LOC100888316,Sstr4L_2 
