GeneID,Name
LOC589856,SLC33A1
LOC577249,SLC7A5
LOC574943,SLC38A9
LOC574944,SLC17A5
LOC590947,SLC17A5
LOC580383,SLC17A5
LOC580324,SLC17A5
LOC585959,SLC17A5
LOC589878,SLC17A5
LOC594709,SLC17A5
LOC585062,SLC17A5
LOC578318,SLC17A5
LOC587737,SLC17A5
LOC576440,SLC11A2
LOC100891619,SLC11A2
LOC578063,SLC25A17
LOC575511,SLC27A2
LOC579013,SLC27A2
LOC575144,SLC7A14
LOC575206,SLC7A14
LOC592937,SLC27A1
LOC587558,SLC36A
LOC100893910,SLC36A
LOC100892108,SLC36A
LOC581039,SLC4A7
LOC588937,SLC25A4
LOC575225,SLC25A4
LOC584279,SLC25A28
LOC592280,SLC1A2
LOC576503,SLC1A3
LOC590274,SLC2A1
LOC593956,SLC2A1
LOC583743,SLC2A1
LOC590868,SLC2A9
LOC578509,SLC2A12
LOC593900,SLC2A13
LOC586832,SLC3A1
LOC587119,SLC4A3
LOC588892,SLC4A3
LOC580912,SLC4A10
LOC579418,SLC4A11
LOC576529,SLC5A3
LOC582008,SLC5A6
LOC584046,SLC5A6
LOC578787,SLC5A6
LOC581846,SLC5A7
LOC589845,SLC5A7
LOC100889402,SLC5A7
LOC590588,SLC5A7
LOC580845,SLC5A8
LOC105441385,SLC5A8
LOC575900,SLC5A8
LOC592711,SLC5A8
LOC590800,SLC5A8
LOC593500,SLC5A9
LOC574938,SLC5A9
LOC574570,SLC5A9
LOC574864,SLC5A9
LOC583473,SLC5A9
LOC752999,SLC5A9
LOC589848,SLC5A9
LOC590499,SLC5A9
LOC592979,SLC5A11
LOC587278,SLC5A11
LOC585204,SLC6A1
LOC581958,SLC6A1
LOC578952,SLC6A1
LOC584179,SLC6A3
LOC577731,SLC6A5
LOC580968,SLC6A5
LOC575259,SLC6A5
LOC594544,SLC6A5
LOC577626,SLC6A5
LOC587709,SLC6A5
LOC584025,SLC6A5
LOC589614,SLC6A5
LOC592693,SLC6A5
LOC580659,SLC6A5
LOC586383,SLC6A5
LOC580597,SLC6A5
LOC590977,SLC6A5
