GeneID,Name
LOC100892607,uncharacterized LOC100892607
LOC105438449,hyalin-like
LOC105438448,uncharacterized LOC105438448
LOC105438450,uncharacterized LOC105438450
LOC100888253,uncharacterized LOC100888253
LOC105440694,uncharacterized LOC105440694
LOC105445371,uncharacterized LOC105445371
LOC105445319,uncharacterized LOC105445319
LOC105441570,transducin beta-like protein 3
LOC105446909,uncharacterized LOC105446909
LOC105440573,uncharacterized LOC105440573
LOC105442619,uncharacterized LOC105442619
LOC762437,hyalin
LOC105442487,uncharacterized LOC105442487
LOC105441739,uncharacterized LOC105441739
LOC105445258,uncharacterized LOC105445258
LOC105438255,uncharacterized LOC105438255
LOC105441119,uncharacterized LOC105441119
LOC100893769,uncharacterized LOC100893769
LOC100893710,uncharacterized LOC100893710
LOC577919,peptidyl-prolyl cis-trans isomerase B
LOC105444719,protein DPCD-like
LOC100893445,non-specific lipid-transfer protein
LOC590065,uncharacterized protein C5orf34 homolog
LOC764615,annexin A7
LOC105442748,uncharacterized LOC105442748
LOC594069,DNA helicase B
LOC594088,uncharacterized protein C6orf203 homolog
LOC575936,uncharacterized LOC575936
LOC574978,ALK tyrosine kinase receptor
LOC584759,hyalin
LOC578739,uncharacterized LOC578739
LOC578867,tubulin monoglycylase TTLL3
LOC582914,voltage-dependent P/Q-type calcium channel subunit alpha-1A
LOC586284,uncharacterized LOC586284
LOC752295,uncharacterized LOC752295
LOC105442155,uncharacterized LOC105442155
LOC752075,hyalin
LOC575580,"enoyl-CoA delta isomerase 2, mitochondrial"
LOC574788,"enoyl-CoA delta isomerase 2, mitochondrial"
LOC575780,HAUS augmin-like complex subunit 4
LOC575845,cyclic nucleotide-binding domain-containing protein 1
LOC586707,N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase
LOC105439926,transmembrane protein 42-like
LOC577794,N-terminal EF-hand calcium-binding protein 1
LOC105439929,borealin
LOC579102,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1"
LOC100889470,uncharacterized LOC100889470
LOC100889391,PRELI domain containing protein 3B
LOC579151,deleted in malignant brain tumors 1 protein
LOC576441,cytochrome P450 10
LOC580280,hydrocephalus-inducing protein homolog
LOC100892326,uncharacterized LOC100892326
LOC585694,glutathione synthetase
LOC100893020,neurofilament heavy polypeptide
LOC592517,CCAAT/enhancer-binding protein gamma
LOC584338,splicing regulatory glutamine/lysine-rich protein 1
LOC590808,cystinosin
LOC762929,cyclin-G-associated kinase
LOC583843,HAUS augmin-like complex subunit 3
LOC100888214,uncharacterized LOC100888214
LOC100890098,uncharacterized LOC100890098
LOC100889326,protein capicua homolog
LOC100889266,protein capicua homolog
LOC105447596,uncharacterized LOC105447596
LOC752335,rRNA 2'-O-methyltransferase fibrillarin
LOC105446349,uncharacterized LOC105446349
LOC581224,dual specificity tyrosine-phosphorylation-regulated kinase 1A
LOC100889255,uncharacterized LOC100889255
LOC764957,uncharacterized LOC764957
LOC763910,kielin/chordin-like protein
LOC105446333,uncharacterized LOC105446333
LOC765151,uncharacterized LOC765151
LOC105437477,uncharacterized LOC105437477
LOC100888475,constitutive coactivator of peroxisome proliferator-activated receptor gamma
LOC589731,mitochondrial import inner membrane translocase subunit TIM50
LOC581904,neurexin-3
LOC100890122,nuclear export mediator factor Nemf
LOC581433,protein-L-isoaspartate(D-aspartate) O-methyltransferase
LOC100891717,organic solute transporter subunit alpha
LOC581596,bifunctional glutamate/proline--tRNA ligase
LOC588847,L-asparaginase
LOC764237,nuclear export mediator factor NEMF
LOC582372,kanadaptin
LOC586490,aqualysin-1
LOC753954,protein sidekick-2
LOC105445309,uncharacterized LOC105445309
LOC594611,leucine-rich repeat-containing protein 45
LOC105446185,uncharacterized LOC105446185
LOC589177,phospholipase B-like 1
LOC578813,probable ATP-dependent RNA helicase DDX17
LOC589921,uncharacterized LOC589921
LOC105436953,uncharacterized LOC105436953
LOC105442116,chloride transport protein 6-like
LOC100891071,uncharacterized LOC100891071
LOC579986,60S ribosome subunit biogenesis protein NIP7 homolog
LOC100891226,uncharacterized LOC100891226
LOC593931,peroxisomal membrane protein PEX14
LOC593925,leucine-rich repeat-containing protein 34
LOC756509,something about silencing protein 10
LOC590177,protein DDI1 homolog 2
LOC753069,cationic amino acid transporter 4
LOC576809,cationic amino acid transporter 4
LOC754229,probable cation-transporting ATPase 13A3
LOC105444169,uncharacterized LOC105444169
LOC576239,leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 1
LOC583489,transmembrane protein 222
VAMP,vesicle-associated membrane protein
LOC578488,sigma non-opioid intracellular receptor 1
LOC752404,exosome component 10
LOC578659,uncharacterized LOC578659
LOC756648,mitochondrial 2-oxoglutarate/malate carrier protein
LOC754443,cytochrome b5 domain-containing protein 1
LOC574793,pre-mRNA 3' end processing protein WDR33
LOC574857,RNA polymerase II subunit A C-terminal domain phosphatase SSU72
LOC575002,uncharacterized LOC575002
LOC575062,uncharacterized LOC575062
LOC105443016,uncharacterized LOC105443016
LOC100892128,uncharacterized LOC100892128
LOC105444240,uncharacterized LOC105444240
LOC586019,calsyntenin-1
LOC100887929,2-phosphoxylose phosphatase 1
LOC100893731,solute carrier family 25 member 36
LOC575530,forkhead-associated domain-containing protein 1
LOC105439574,zinc finger protein 91-like
LOC754330,"39S ribosomal protein L20, mitochondrial"
LOC590010,ubiquitin-conjugating enzyme E2 J2
LOC753784,"beta-1,3-galactosyltransferase 6"
LOC754045,endochitinase A1
LOC100894080,myb-like protein X
LOC105444408,uncharacterized LOC105444408
LOC575944,multiple epidermal growth factor-like domains protein 6
LOC105436970,uncharacterized LOC105436970
LOC585134,cyclin-L1
LOC580300,alkaline phosphatase
LOC100893168,integrin-linked kinase-associated serine/threonine phosphatase 2C
LOC586121,caspase-7-like
LOC100892661,protein sidekick-2
LOC105443151,ceramide glucosyltransferase-B-like
LOC588499,BRISC and BRCA1-A complex member 1
LOC574859,uncharacterized protein C3orf26 homolog
LOC753119,uncharacterized LOC753119
LOC575609,transitional endoplasmic reticulum ATPase
LOC579014,EF-hand calcium-binding domain-containing protein 14
LOC579084,E3 ubiquitin-protein ligase Rnf220
LOC583567,peptidylprolyl isomerase domain and WD repeat-containing protein 1
LOC579197,spindle assembly abnormal protein 6 homolog
LOC764654,ribosomal protein S6 kinase 2 alpha-like
LOC585298,"cytochrome c oxidase subunit 6A, mitochondrial"
LOC105442604,apoptosis-inducing factor 3
LOC578029,protein yippee-like 2
LOC578099,translation initiation factor eIF-2B subunit alpha
LOC105442605,uncharacterized LOC105442605
LOC100890460,probable Werner syndrome ATP-dependent helicase homolog 1
LOC100890524,microprocessor complex subunit DGCR8
LOC100892132,disintegrin and metalloproteinase domain-containing protein 23
LOC105446625,5'-AMP-activated protein kinase subunit gamma-1-like
LOC587625,ATP-dependent RNA helicase DDX42
LOC591473,serine/threonine-protein kinase 16
LOC583425,E3 ubiquitin-protein ligase ZSWIM2
LOC100892810,uncharacterized LOC100892810
LOC105445203,uncharacterized LOC105445203
LOC579697,phospholipase A2 AP-PLA2-II
LOC100893578,"phospholipase A2, membrane associated"
LOC762932,phospholipase A2
LOC764270,DNA methyltransferase 1-associated protein 1
LOC100893216,P2X purinoceptor 7-like
LOC105442270,lymphocyte expansion molecule-like
LOC593188,actin-binding protein IPP
LOC100893823,"CMP-N-acetylneuraminate-poly-alpha-2,8-sialyltransferase-like"
LOC100892979,uncharacterized LOC100892979
LOC100893537,receptor-type tyrosine-protein phosphatase F
LOC373274,"beta 1,3-glucanase"
LOC100893659,receptor-type tyrosine-protein phosphatase kappa
LOC591023,"CMP-N-acetylneuraminate-poly-alpha-2,8-sialyltransferase"
LOC100891886,uncharacterized LOC100891886
LOC754090,"NACHT, LRR and PYD domains-containing protein 12"
LOC105437865,early nodulin-75-like
