WHL,SPU,GeneID,Name,Annotation
WHL22.609056.0,SPU_017582,LOC575820,Sp-Cyp1r2,"Cytochrome P450 Family 2 like, CYP1-related, CYP1"
WHL22.609152.0,SPU_017582,LOC575820,Sp-Cyp1r2,"Cytochrome P450 Family 2 like, CYP1-related, CYP1"
WHL22.556898.0,SPU_007409,LOC100893015,Sp-Cyp17L1,Cytochrome P450 Family 17
WHL22.614000.0,SPU_000279,LOC581339,Sp-Cyp17a1,Cytochrome P450 Family 17
WHL22.641036.0,SPU_007406,LOC578655,Sp-Cyp1L1,"Cytochrome P450 Family 1, CYP1F1, CYP2 clan"
WHL22.562864.0,SPU_003038,LOC578140,Sp-Cyp1L7,"Cytochrome P450 Family 1, CYP1"
WHL22.563597.0,SPU_021185,LOC584123,Sp-Cyp17r3,"Cytochrome P450 Family 17, CYP17, CYP2, CYP1, CYP2 clan"
WHL22.136888.0,SPU_019883,LOC576122,Sp-Cyp1r3,"Cytochrome P450 Family 2, CYP2, CYP1-related, CYP2 clan"
WHL22.609152.1,SPU_017582,LOC575820,Sp-Cyp1r2,"Cytochrome P450 Family 2 like, CYP1-related, CYP1"
WHL22.666262.1,SPU_003231,LOC115919855,Sp-Cyp17r1,"Cytochrome P450 Family 17 related, basal divergence"
WHL22.158477.0,SPU_014843,LOC578140,Sp-Cyp1r1,"Cytochrome P450 Family 1 related, CYP1, CYP2"
WHL22.666262.0,SPU_003231,LOC115919855,Sp-Cyp17r1,"Cytochrome P450 Family 17 related, basal divergence"
WHL22.641069.0,SPU_007404,LOC578598,Sp-Cyp1L6,"Cytochrome P450 Family 1, CYP1F6, CYP2 clan"
WHL22.748920.0,SPU_025299,LOC575982,Sp-Cyp2L58,"Cytochrome P450 Family 2 like, CYP2"
WHL22.357752.2,SPU_021087,LOC579395,Sp-Cyp2L47,"Cytochrome P450 Family 2, CYP2, CYP1 related"
WHL22.610666.1,SPU_020234,LOC581777,Sp-Cyp2L42,"Cytochrome P450 Family 2 like, CYP2"
WHL22.107174.0,SPU_008632,LOC581885,Sp-Cyp2U,"Cytochrome P450 Family 2U, CYP2U"
WHL22.457269.0,SPU_008152,LOC575697,Sp-Cyp2L16,"Cytochrome P450 Family 2 like, CYP2"
WHL22.170303.0,SPU_023808,LOC578821,Sp-Cyp3L7,"Cytochrome P450 Family 3-like, CYP3, CYP3-like, CYP 3 clan"
