GeneID,Name
LOC594105,594105 hexokinase-2 isoform X1	K00844 HK; hexokinase [EC:2.7.1.1]
LOC581884,581884 hexokinase-2	K00844 HK; hexokinase [EC:2.7.1.1]
LOC764863,764863 glucose-6-phosphate isomerase	K01810 GPI; glucose-6-phosphate isomerase [EC:5.3.1.9]
LOC762939,762939 glucose-6-phosphate isomerase	K01810 GPI; glucose-6-phosphate isomerase [EC:5.3.1.9]
LOC548617,548617 ATP-dependent 6-phosphofructokinase	K00850 pfkA; 6-phosphofructokinase 1 [EC:2.7.1.11]
LOC577064,"577064 fructose-1	K03841 FBP; fructose-1,6-bisphosphatase I [EC:3.1.3.11]"
LOC588688,"588688 fructose-1	K03841 FBP; fructose-1,6-bisphosphatase I [EC:3.1.3.11]"
LOC548623,"548623 fructose-bisphosphate aldolase	K01623 ALDO; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"
LOC548616,548616 triosephosphate isomerase	K01803 TPI; triosephosphate isomerase (TIM) [EC:5.3.1.1]
LOC578260,578260 glyceraldehyde-3-phosphate dehydrogenase	K00134 GAPDH; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
LOC100890751,100890751 probable phosphoglycerate kinase	K00927 PGK; phosphoglycerate kinase [EC:2.7.2.3]
LOC591606,"591606 2	K15633 gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
LOC583138,583138 enolase 4	K01689 ENO; enolase [EC:4.2.1.11]
LOC579256,579256 enolase	K01689 ENO; enolase [EC:4.2.1.11]
LOC592628,592628 pyruvate kinase PKM	K00873 PK; pyruvate kinase [EC:2.7.1.40]
LOC752050,752050 pyruvate dehydrogenase E1 component subunit alpha	K00161 PDHA; pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]
LOC100891958,100891958 pyruvate dehydrogenase E1 component subunit beta	K00162 PDHB; pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]
LOC576867,576867 dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	K00627 DLAT; pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]
LOC577103,577103 dihydrolipoyl dehydrogenase	K00382 DLD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]
LOC577260,577260 pyruvate dehydrogenase protein X component	K13997 PDHX; dihydrolipoamide dehydrogenase-binding protein of pyruvate dehydrogenase complex
LOC586683,586683 L-lactate dehydrogenase isoform X1	K00016 LDH; L-lactate dehydrogenase [EC:1.1.1.27]
LOC579220,579220 alcohol dehydrogenase class-3 isoform X1	K00121 frmA; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]
LOC587281,587281 aldo-keto reductase family 1 member A1-B	K00002 AKR1A1; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]
LOC581754,581754 aldehyde dehydrogenase	K00128 ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
LOC105445554,105445554 aldehyde dehydrogenase	K00128 ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
LOC593236,593236 aldehyde dehydrogenase family 16 member A1	K00128 ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
LOC105445170,105445170 aldehyde dehydrogenase family 3 member A2 isoform X1	K00128 ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
LOC756945,756945 aldehyde dehydrogenase	K00128 ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
LOC588376,588376 alpha-aminoadipic semialdehyde dehydrogenase	K14085 ALDH7A1; aldehyde dehydrogenase family 7 member A1 [EC:1.2.1.31 1.2.1.8 1.2.1.3]
LOC580956,580956 4-trimethylaminobutyraldehyde dehydrogenase	K00149 ALDH9A1; aldehyde dehydrogenase family 9 member A1 [EC:1.2.1.47 1.2.1.3]
LOC583864,583864 4-trimethylaminobutyraldehyde dehydrogenase A	K00149 ALDH9A1; aldehyde dehydrogenase family 9 member A1 [EC:1.2.1.47 1.2.1.3]
LOC585742,585742 acetyl-coenzyme A synthetase 2-like	K01895 ACSS1_2; acetyl-CoA synthetase [EC:6.2.1.1]
