Gene,RNA tissue specificity,RNA tissue distribution,RNA tissue specificity score,RNA tissue specific NX,RNA single cell type specificity,RNA single cell type distribution,RNA single cell type specificity score,RNA single cell type specific NX,Name,GeneID,type
SLC11A2,Low tissue specificity,Detected in all,NA,NA,Low cell type specificity,Detected in many,NA,NA,SLC11A2,LOC576440,germline
SLC15A1,Tissue enriched,Detected in many,8,intestine: 134.9,Cell type enhanced,Detected in many,16,Cholangiocytes: 30.6;Enterocytes: 51.2;Hepatocytes: 29.9,SLC15A1,LOC587947,germline
SLC25A42,Tissue enhanced,Detected in all,NA,liver: 42.3,Cell type enhanced,Detected in many,9,Bipolar cells: 68.0;Hepatocytes: 44.5;Rod photoreceptor cells: 42.5,SLC25A42,LOC576399,germline
SLC27A2,Tissue enriched,Detected in many,4,liver: 168.1,Cell type enhanced,Detected in many,15,Cytotrophoblasts: 236.8;Hepatocytes: 188.9;Proximal tubular cells: 112.0,SLC27A2,LOC579013,germline
SLC2A1,Tissue enriched,Detected in all,4,placenta: 194.0,Cell type enhanced,Detected in many,20,Cytotrophoblasts: 686.5;Extravillous trophoblasts: 412.9;Syncytiotrophoblasts: 2076.2,SLC2A1,LOC590274,germline
SLC30A1,Tissue enhanced,Detected in all,NA,liver: 53.3,Cell type enhanced,Detected in all,5,Hepatocytes: 83.9,SLC30A1,LOC584166,germline
SLC35C1,Tissue enhanced,Detected in all,NA,liver: 74.7,Cell type enhanced,Detected in many,4,Cardiomyocytes: 49.8;Enterocytes: 46.6,SLC35C1,LOC593968,germline
SLC38A9,Tissue enhanced,Detected in all,NA,placenta: 44.2,Cell type enhanced,Detected in many,20,Cytotrophoblasts: 168.8;Early spermatids: 189.6;Syncytiotrophoblasts: 518.4,SLC38A9,LOC574943,germline
SLC39A11,Low tissue specificity,Detected in all,NA,NA,Cell type enhanced,Detected in many,7,Late spermatids: 49.0;Mucus-secreting cells: 73.3,SLC39A11,LOC589828,germline
SLC43A3,Tissue enhanced,Detected in all,NA,liver: 149.9;thyroid gland: 69.0,Cell type enhanced,Detected in many,5,granulocytes: 63.7;Hofbauer cells: 71.5;Sertoli cells: 64.7,SLC43A3,LOC100889901,germline
SLC46A1,Tissue enhanced,Detected in many,NA,intestine: 52.7,Cell type enhanced,Detected in many,5,Bipolar cells: 25.6;Hepatocytes: 24.9;Hofbauer cells: 21.1,SLC46A1,LOC590484,germline
SLC52A3,Tissue enhanced,Detected in many,NA,testis: 32.5,Cell type enhanced,Detected in many,11,Collecting duct cells: 22.7;Cytotrophoblasts: 15.8;Enterocytes: 25.3;Syncytiotrophoblasts: 43.6,SLC52A3,LOC594357,germline
SLC7A5,Tissue enhanced,Detected in all,NA,bone marrow: 71.2,Cell type enhanced,Detected in many,5,Erythroid cells: 70.0;granulocytes: 68.9;Intestinal endocrine cells: 82.6;Smooth muscle cells: 85.8;Syncytiotrophoblasts: 89.8,SLC7A5,LOC577249,germline
SLC24A5,Tissue enriched,Detected in some,5,retina: 71.9,Cell type enriched,Detected in some,4,Melanocytes: 72.6,SLC24A5,LOC592113,germline
SLC4A11,Tissue enhanced,Detected in many,NA,salivary gland: 34.4;thyroid gland: 42.7,Cell type enriched,Detected in some,4,Collecting duct cells: 106.4,SLC4A11,LOC579418,germline
SLC7A9,Group enriched,Detected in some,4,intestine: 63.3;kidney: 26.4,Cell type enriched,Detected in some,5,Proximal tubular cells: 55.5,SLC7A9,LOC753230,germline
